id,text_x,text_top,text_w,text_h,ocr,score
30748,0.0,0.736,0.9897,0.264,THE HERBAFTER WOG 1042,1.2366
30829,0.0239,0.0505,0.9541,0.1985,Fantasm,1.0417
30937,-1.0,-1.0,-1.0,-1.0,,0.0
31001,0.0656,0.5227,0.8509,0.1841,SANCTIMONY,0.4765
31042,-1.0,-1.0,-1.0,-1.0,,0.0
31393,0.0,0.765,1.0,0.235,The UNEARTHLY Starring JOHN CARRADINE ALLISON HAYES MYRON HEALY with SALLY TODD ,1.5312
31564,0.0191,0.0,0.9619,0.1305,LUNATICS,0.7197
31767,-1.0,-1.0,-1.0,-1.0,,0.0
32003,0.0229,0.7176,0.9771,0.2824,CARETAKER THE,1.4713
32367,-1.0,-1.0,-1.0,-1.0,,0.0
33156,0.1833,0.7608,0.6294,0.1829,BLOOD THE ON HIGHWAY,0.6231
33347,0.0054,0.7708,0.9909,0.183,PARANOID,1.019
33589,0.0,0.865,1.0,0.108,FOOL'S FIRE,0.5693
33607,0.0415,0.7406,0.9151,0.1635,"I Killed my Lesbian Wife, Hung Her on a Meathook, and now I have a Three Picture",0.855
33645,0.0,0.5724,0.9724,0.1668,MEGALODON ROBIN SACHS LEIGHANNE LITTRELL FRED BELFORD,0.5075
33754,0.0568,0.0321,0.8694,0.1361,SCARED STIFF,0.6481
33914,0.0,0.0,1.0,0.2704,Frankenweanie Disney,1.1391
34552,0.0445,0.1801,0.8994,0.1008,LEEDS POINT,0.4647
35683,0.098,0.1192,0.8138,0.1207,SINGLE WHITE FEMALE: THE PSYCHO,0.518
36299,0.0472,0.2784,0.92,0.2525,Craig SHEFFER Gabrielle ANWAR Josh CHARLES G RAVE THE,0.4149
36574,0.1,0.8235,0.8,0.137,ABYSS FILMS PRESENTS 10 ASSOCIATION MITH FIREWALL ENTERTAINMENT LIBICHARD BODDIN,0.4593
36601,0.0004,0.217,0.9914,0.079,GRINDSTONE ROAD,0.3342
36794,0.0,0.0,1.0,0.2283,MUTATION,1.3467
36859,0.0074,0.6337,0.9853,0.1043,BELLS OF INNOCENCE,0.2916
