id,title,year,genre_names
450485,"Violet, Fisher of the Black Sea",2006,"Animation, Horror"
58520,Live Freaky! Die Freaky!,2006,"Animation, Comedy, Horror, Music, Science Fiction"
451686,Bloody Date,2006,"Animation, Horror"
844202,Happy Tree Friends: The Movie,2006,"Animation, Comedy, Horror"
929799,Strange Tales of Modern Mysterious Events,2006,"Animation, Horror"
431412,The Hell (Two Kinds of Life),2006,"Animation, Fantasy, Horror"
849046,La maison dans la neige,2007,"Animation, Horror"
540967,Voodoo Bayou,2007,"Animation, Horror, Science Fiction"
387470,JoJo's Bizarre Adventure: Phantom Blood,2007,"Action, Animation, Horror"
16137,Fear(s) of the Dark,2007,"Animation, Comedy, Drama, Horror, Mystery, Romance"
81537,One Night in One City,2007,"Animation, Fantasy, Horror"
474344,Murder,2007,"Animation, Horror"
54819,The Pearce Sisters,2007,"Animation, Horror"
141754,CHAINSAW MAID,2007,"Animation, Horror"
463708,Billy & Mandy: Wrath of the Spider Queen,2007,"Animation, Comedy, Fantasy, Horror"
29826,The Legend of the Nahuala,2007,"Animation, Family, Fantasy, Horror"
13204,Hellboy Animated: Blood and Iron,2007,"Action, Animation, Fantasy, Horror, Science Fiction, Thriller, TV Movie"
17778,We Are the Strange,2007,"Animation, Drama, Fantasy, Horror, Science Fiction"
1003465,The  Ants,2007,"Animation, Horror"
332167,H.P. Lovecraft's The Dunwich Horror and Other Stories,2007,"Animation, Horror"
480204,Monsters of the Id,2007,"Animation, Horror"
790252,Eko Eko Azarak,2007,"Animation, Fantasy, Horror"
567861,Santa Claws,2008,"Action, Animation, Comedy, Horror"
52803,Sebastian's Voodoo,2008,"Animation, Horror"
567865,You Better Watch Out,2008,"Animation, Comedy, Horror"
568121,One Night in December,2008,"Animation, Crime, Horror"
450999,Spooky Kitaro: Japan Explodes!!,2008,"Action, Animation, Fantasy, Horror"
13648,Resident Evil: Degeneration,2008,"Action, Animation, Horror, Science Fiction"
568277,X-Mess Detritus,2008,"Animation, Horror"
401560,View,2008,"Animation, Horror"
13190,Dead Space: Downfall,2008,"Animation, Horror, Science Fiction, Thriller"
534478,tHE bIRTh of bRAiNFly,2008,"Animation, Horror"
12903,Scooby-Doo! and the Goblin King,2008,"Adventure, Animation, Comedy, Family, Fantasy, Horror, Music"
157125,Scayrecrow,2008,"Animation, Horror"
526838,Frankenstein vs. the Wolfman in 3-D,2008,"Animation, Horror"
108449,Urban Legend Story Hikiko,2008,"Animation, Horror"
225279,The Facts in the Case of Mister Hollow,2008,"Animation, Horror"
567745,All Wrapped Up,2008,"Animation, Horror"
546276,Zombies Ate My Prom Date,2008,"Animation, Comedy, Horror"
45097,Edison And Leo,2008,"Adventure, Animation, Comedy, Fantasy, Horror, Romance"
250883,Nak,2008,"Adventure, Animation, Comedy, Fantasy"
37776,Dead Fury,2008,"Action, Adventure, Animation, Comedy, Horror"
796400,Look Around,2008,"Animation, Horror"
225982,From Inside,2008,"Animation, Horror"
33274,Street Fighter - Round One - FIGHT!,2009,"Animation, Fantasy, Horror, Science Fiction"
77046,Land of the Heads,2009,"Animation, Fantasy, Horror"
46719,Night of the Living Dead: Reanimated,2009,"Action, Animation, Drama, Fantasy, Horror, Thriller"
62682,The Story of Mr. Sorry,2009,"Animation, Comedy, Drama, Horror"
763080,Battlefield Baseball,2009,"Animation, Comedy, Horror"
214851,The Romantic,2009,"Action, Adventure, Animation, Fantasy, Horror, Romance"
638369,Dear Beautiful,2009,"Animation, Horror"
350610,Pig Me,2009,"Animation, Comedy, Horror"
16440,Tales of the Black Freighter,2009,"Action, Animation, Horror"
23127,The Haunted World of El Superbeasto,2009,"Action, Animation, Comedy, Horror"
965164,Down To The Bone,2009,"Animation, Comedy, Horror"
101361,The Spine,2009,"Animation, Horror"
516684,Who's Hungry?,2009,"Animation, Horror"
31160,Alma,2009,"Animation, Fantasy, Horror"
719686,Monstera Deliciosa,2009,"Animation, Fantasy, Horror"
383683,Elektrik Kiss,2010,"Animation, Horror, Thriller"
352864,DemiUrge Emesis,2010,"Animation, Horror"
455424,MutantLand,2010,"Animation, Horror, Science Fiction"
782663,Hansel and Gretel - The True Story,2010,"Animation, Fantasy, Horror"
390768,Woman Who Stole Fingers,2010,"Animation, Horror"
52191,Nosferatu. Horror of the Night,2010,"Animation, Horror"
542779,Roggenmuhme,2010,"Animation, Horror"
31967,Dante's Inferno: An Animated Epic,2010,"Action, Adventure, Animation, Horror"
743569,KFK,2010,"Animation, Horror"
866672,Princesse,2010,"Animation, Drama, Horror"
663603,Amy,2010,"Animation, Horror"
796401,A Hollywood Blockbuster,2010,"Animation, Comedy, Fantasy, Horror"
795936,Chainsaw Maid Episode 0,2010,"Animation, Comedy, Horror, Thriller"
178148,Man-Eater Mountain,2010,"Animation, Horror"
55215,Dead Space: Aftermath,2010,"Animation, Horror, Science Fiction"
123969,The Backwater Gospel,2011,"Animation, Horror, Western"
960629,Tale of Blood,2011,"Animation, Drama, Fantasy, Horror"
306951,Haunted House,2011,"Animation, Horror"
528470,The Mystery of the Rabbit's Death,2011,"Animation, Horror"
515376,Odokuro,2011,"Animation, Horror"
149613,Hambuster,2011,"Animation, Comedy, Horror"
116322,The Legend of La Llorona,2011,"Animation, Family, Fantasy, Horror"
631933,Dead Island: Gut Wrenching,2011,"Animation, Fantasy, Horror"
703258,Follow the Sun!,2011,"Animation, Horror"
75624,Naruto Shippuden the Movie: Blood Prison,2011,"Action, Animation, Comedy, Horror, Mystery, Thriller"
451705,T is for Toilet,2011,"Animation, Comedy, Horror"
464910,60 Seconds of Solitude in Year Zero,2011,"Animation, Comedy, Documentary, Drama, Horror, Mystery, Thriller"
944184,The Northern Incident,2011,"Animation, Comedy, Horror"
279928,Mortys,2011,"Animation, Comedy, Fantasy, Horror"
570108,Turma do Penadinho em: Um Natal Diferente,2011,"Animation, Comedy, Family, Fantasy, Horror"
123957,Bobby Yeah,2011,"Animation, Horror"
888561,The Crack: Zombie Eggs!,2011,"Animation, Horror"
355156,Chiruri,2011,"Animation, Drama, Fantasy, Horror, Romance"
203101,High School of the Dead: Drifters of the Dead,2011,"Adventure, Animation, Comedy, Horror"
1001297,Underlife,2011,"Animation, Horror"
752714,Shine,2011,"Animation, Comedy, Horror"
116299,Midori-ko,2011,"Animation, Horror, Science Fiction"
956111,The Little Old Lady Who Was Not Afraid of Anything,2011,"Animation, Family, Horror"
127144,Don't Hug Me I'm Scared,2011,"Animation, Fantasy, Horror, Music"
386763,Visitation,2011,"Animation, Fantasy, Horror"
805347,House of Monsters,2012,"Animation, Comedy, Family, Horror"
493198,The Maggot Feeder,2012,"Animation, Horror"
879909,La Noche Boca Arriba,2012,"Animation, Fantasy, History, Horror"
877621,The Linear of Nitemare,2012,"Animation, Horror"
366071,Enchiridion,2012,"Animation, Drama, Horror"
515618,Pinky,2012,"Animation, Horror"
