id,title,original_title,year,year_mode
1452523,Ghost Stories,Ghost Stories,2025,none
1453109,Hotel Attack,Hotel Attack,2025,none
1457700,Stillness Spreads,Stillness Spreads,2025,none
1459933,Unlike You,Unlike You,2025,none
1460565,Rec Nights At Freddys 2,Rec Nights At Freddys 2,2025,none
1462224,Dendam Dalam Dosa,Dendam Dalam Dosa,2025,none
1463644,Viper Visionz,Viper Visionz,2024,none
1466771,Welcome To Fredbear's,Welcome To Fredbear's,2025,none
1468801,A Very Blood Sick Christmas Special,A Very Blood Sick Christmas Special,2024,none
1473792,Dollar Store Killers,Dollar Store Killers,2025,none
1478501,A Visitor in the Night,A Visitor in the Night,2025,none
1478694,Wolf Moon Rising,Wolf Moon Rising,2025,none
1481393,The Dark House,The Dark House,2025,none
1486392,The Birdwatcher,The Birdwatcher,2025,none
1498452,Edmonton To Milan,Edmonton To Milan,2025,none
1498777,The ghost light of the Big Thicket,The ghost light of the Big Thicket,2025,none
1499312,In The Land of Fish and Honey,In The Land of Fish and Honey,2025,none
1499363,Dawn Of The Dyer,Dawn Of The Dyer,2025,none
1499799,Slop.,Slop.,2024,none
1502939,Harvest Brood,Harvest Brood,2025,none
1505948,Whiteface,Whiteface,2025,none
1506037,The Movie That Was Never Made,The Movie Does Not Exist,2025,none
1511111,The Things We Keep,The Things We Keep,2025,none
1514584,Blood Weekend,Blood Weekend,2025,none
1519253,Ape,Ape,2025,none
1525341,Kaycee Brown,Kaycee Brown,2024,none
1525910,Day of the Draugr,Day of the Draugr,2025,none
1526741,An Evening with Rodney Ascher,An Evening with Rodney Ascher,2025,none
1530207,52AMGOD,52AMGOD,2025,none
1534580,"JPW x Brendan Underground - Die in Hell, Bro","JPW x Brendan Underground - Die in Hell, Bro",2025,none
1536383,The Veiled Abyss,The Veiled Abyss,2024,none
1538712,Tulsa Terrors,Tulsa Terrors,2025,none
1541383,The Killer Within,The Killer Within,2025,none
1542655,Death Cult,Death Cult,2025,none
1549340,No Longer Humans,No Longer Humans,2025,none
1555096,The Book of Hades,The Book of Hades,2025,none
1555576,Spite,Spite,2025,none
1558271,Amityville: Bed & Breakfast,Amityville: Bed & Breakfast,2025,none
1558416,Candleman: Part One,Candleman: Part One,2025,none
1562243,Smosh vs Aliens: The Movie,Smosh vs Aliens: The Movie,2025,none
1562959,10/31: KNIGHTS,10/31: KNIGHTS,2025,none
1565447,Lock Your Doors,Lock Your Doors,2025,none
1565756,Do Not Watch This Film,Do Not Watch This Film,2025,none
1566522,The Creature,The Creature,2025,none
1569796,Star Shark Squad,Star Shark Squad,2025,none
1571124,Screamityville: A Frightseeing Tour,Screamityville: A Frightseeing Tour,2025,none
1571731,The Tall-N-Short Halloween Special - Vol. VI,The Tall-N-Short Halloween Special - Vol. VI,2025,none
1571931,Midwest Angelica,Midwest Angelica,2025,none
1575401,The Cult of the Antichrist,The Cult of the Antichrist,2025,none
1575406,Gacy's House,Gacy's House,2025,none
1575410,Nightmare Released,Nightmare Released,2025,none
1583360,Come To Brazil,Come To Brazil,2025,none
1591158,VideoNapped,VideoNapped,2023,none
1593002,"It’s Not the House, It’s My Mother","It’s Not the House, It’s My Mother",2023,none
1604261,The Seed of the Whampire,The Seed of the Whampire,2025,none
1606966,Unity for Nostalgia,Unity for Nostalgia,2025,none
1646290,Etouffe-moi Seul,Etouffe-moi Seul,2025,none
1658267,Pinwydd,Pinwydd,2025,none
1664530,Theater in Quarantine: The Phantom of the Opera,Theater in Quarantine: The Phantom of the Opera,2025,none
1677112,Youming Flowers Bloom,Youming Flowers Bloom,2025,none
1680371,The Mummy Creeps,The Mummy Creeps,2024,none
1707748,Late At Night,Late At Night,2023,none
1715382,Generation Loss: The Social Experiments (Founder's Cut),Generation Loss: The Social Experiments (Founder's Cut),2024,none
