id,title,year,tconst,titleType,primaryTitle,startYear,match_reason
973899,Claw 2: Blood Legacy,2021,tt14102720,movie,Claw 2: Blood Legacy,2021,unique
975957,The Reckoning,2018,tt8742528,video,The Reckoning,2018,unique
976441,The Mars Project,2015,tt4832430,tvMovie,The Mars Project,2015,unique
980062,080817.mp4,2017,tt8101628,movie,080817.mp4,2017,unique
981270,Spasm,2022,tt21306330,movie,Spasm,2022,unique
982842,Souls: Lost Tapes,2021,tt10358560,movie,Souls: Lost Tapes,2021,unique
984209,Honto Ni Atta! Noroi No Video 90,2020,tt18967722,video,Honto Ni Atta! Noroi No Video 90,2020,unique
983728,Mystery in the Woods,2017,tt15225974,movie,Mystery in the Woods,2017,unique
985282,Honto Ni Atta! Noroi No Video 84,2019,tt18967564,video,Honto Ni Atta! Noroi No Video 84,2019,unique
985726,Not Found 2,2011,tt18986726,video,Not Found 2,2011,unique
985288,Honto Ni Atta! Noroi No Video 85,2019,tt18967598,video,Honto Ni Atta! Noroi No Video 85,2019,unique
985296,Honto Ni Atta! Noroi No Video 86,2020,tt18967608,video,Honto Ni Atta! Noroi No Video 86,2020,unique
1005337,Penumbra,2021,tt21382564,movie,Penumbra,2021,unique
1005550,Penumbra: The Autumn Cut,2021,tt26424578,movie,Penumbra: The Autumn Cut,2021,unique
1018055,The Hanging Judge,1991,tt35635316,movie,The Hanging Judge,1991,unique
1021572,Portraits of Andrea Palmer,2018,tt8885194,movie,Portraits of Andrea Palmer,2018,unique
1021064,Snuffology,2018,tt37541679,movie,Snuffology,2018,unique
1071554,The Skull and the Arm,2023,tt28484050,movie,Skull and the Arm,2023,unique
1077433,Wendigo,2023,tt38091304,movie,Wendigo,2023,unique
1090171,Bull,2023,tt26537561,movie,Bull,2023,unique
1095499,The Call Of The Void,2023,tt27114711,movie,Call of the Void,2024,unique_year_fuzzy
1110690,Ghost,2023,tt23462726,movie,Ghost,2023,horror_disambiguated
1110997,Adhæsit,2023,tt27474237,movie,Adhæsit,2023,unique
1125371,Debunk Beraya,2023,tt32166931,tvMovie,Debunk Beraya,2023,unique
1134089,Imitation,2023,tt22077918,video,Imitation,2022,unique_year_fuzzy
1154296,Dariuss,2023,tt28625676,movie,Dariuss,2023,unique
1163418,Taped Up Memories,2023,tt29571530,movie,Taped Up Memories,2023,unique
1175574,Migraine,2024,tt29114081,movie,Migraine,2024,unique
1187504,Shadows : The Movie,2023,tt13123560,movie,Shadows,2024,unique_year_fuzzy
1190755,Dog Shadow,2023,tt30006774,movie,Dog Shadow,2023,unique
1196450,Son of Ghoul Log,2023,tt29871095,movie,Son of Ghoul Log,2023,unique
1196782,The Black Heart Collectors Club,2023,tt29259638,movie,The Black Heart Collectors Club,2023,unique
1197547,LGBT: Lethal Gay Butcher of Terror,2023,tt22494762,movie,Leviticus,2022,unique_year_fuzzy
1198717,Blood Bitch Baby,2024,tt43509785,movie,Blood Bitch Baby,2024,unique
1205084,Stalking,2023,tt29954304,movie,Stalking,2023,unique
1206635,A Witch Lives In The Attic,2024,tt30037272,movie,A Witch Lives in the Attic,2024,unique
1206701,Wendigo: The Wrath On Human Garbage,2023,tt30036849,movie,Wendigo: The Wrath on Human Garbage,2023,unique
1207910,Work Dreams,2023,tt35506294,movie,Work Dreams,2023,unique
1221058,Urban Nightmares: A Found Footage Anthology,2024,tt30008481,movie,Urban Nightmares: A Found Footage Anthology,2024,unique
1221099,Road Kill,2024,tt30876721,movie,Road Kill,2024,unique
1221499,Blood Demons,2024,tt33232819,movie,Blood Demons,2024,unique
1225557,Blood Moon,2023,tt35163946,movie,Blood Moon,2024,unique_year_fuzzy
1232181,Infernal Flesh,2023,tt3748648,movie,Infernal Flesh,2022,unique_year_fuzzy
1235665,Hotel Trancesylvania,2024,tt43599620,movie,Hotel Trancesylvania,2024,unique
1239944,Kanbalhi,2024,tt31115336,movie,Kanbalhi,2024,unique
1241444,Don't Get Eaten,2023,tt21799852,movie,Don't Get Eaten,2023,unique
1243442,Ridgewood River,2023,tt32260240,movie,Ridgewood River,2023,unique
1243465,The Hunting Creek,2023,tt30818893,movie,The Hunting Creek,2023,unique
1244223,Bad Ben 14: Frankenstein,2024,tt36489448,movie,Bad Ben 14: Frankenstein,2024,unique
1246490,ddd,2024,tt38843917,movie,DDD,2025,unique_year_fuzzy
1256195,Justice: The Movie,2025,tt31630318,movie,Justice: The Movie,2025,unique
1266426,Lesbian Vampires from Outer Space,2024,tt35679548,movie,Lesbian Vampires from Outer Space,2024,unique
1271264,Screams of the Dead,2023,tt33095900,movie,Screams of the Dead,2023,unique
1273193,The Housemate,2023,tt32466732,movie,The Housemate,2023,unique
1279091,Bloodthirst,2024,tt11430948,movie,Bloodthirst,2023,unique_year_fuzzy
1282183,What Lives Here,2024,tt32109879,movie,What Lives Here,2024,unique
1288629,The Animals Are Sick With Love,2023,tt36998691,movie,The Animals Are Sick with Love,2023,unique
1296350,Jokhini,2023,tt27836731,movie,Jokhini,2023,unique
1301393,Guest of Evil,2023,tt29704647,movie,Guest of Evil,2023,unique
1307189,Finally Home,2024,tt35665110,movie,Finally Home,2024,unique
1309266,"Pareidolia: An Exploration of Human Nature Through Stories About Bigfoot, Presented in Three Acts",2024,tt32756386,movie,"Pareidolia: An Exploration of Human Nature Through Stories About Bigfoot, Presented in Three Acts",2024,unique
1312403,Luk Thep Tom 3,2024,tt32831533,movie,Luk Thep Tom 3,2024,unique
1312437,The Black Quarry,2023,tt18828658,movie,The Black Quarry,2023,unique
1314205,Waterwick,2025,tt31150229,movie,Waterwick,2025,unique
1316071,Janus,2024,tt32897525,movie,Janus,2024,unique
1316425,Come Back Soon,2023,tt35673627,movie,Come Back Soon,2023,unique
1320661,Darkness Hunting,2023,tt26906742,movie,Darkness Hunting,2024,unique_year_fuzzy
1322976,Goodnight,2023,tt23830652,movie,Goodnight,2023,unique
1326353,Monster Girls,2025,tt33204125,movie,Monster Girls,2024,unique_year_fuzzy
1327768,The Farm,2024,tt30888228,movie,The Farm,2024,unique
1328717,The Unknown,2024,tt26457606,movie,Unknown,2024,unique
1329268,Quiet,2024,tt33095820,movie,Quiet,2024,unique
1336473,Cholo Zombies,2024,tt13009044,movie,Cholo Zombies,2024,unique
1340233,Tent Burner,2024,tt35662311,movie,Tent Burner,2024,unique
