id,cluster,file_path,is_rep,is_canonical,vote_average,vote_count,iso_639_1
609,3,/hSYivoClJyLQPvJ9P64nBcB3Rf6.jpg,1,0,3.334,2,
609,4,/m5AKo8iZAYulI87Uzxkn87vRY07.jpg,1,0,6.042,12,en
622,0,/cMd8zkd6NdWnQQoG7bQ9xJ8gjQR.jpg,1,0,2.066,5,en
622,1,/iFDtmA8Bg9zE4NcsjcmGfqFN01H.jpg,1,0,1.75,6,en
622,2,/xm0mc04YBEj97GXAPmk7kuhcmwA.jpg,1,0,3.334,1,
622,3,/sJ0frb35zJd4L6gvvJ4bLN1QMOU.jpg,1,0,3.334,1,
622,4,/rxw9l9YNL14ODdmAavUwHLBjiDo.jpg,1,1,6.312,8,en
628,0,/t7NU8IcmcNBrlunCxiycX9JV7Rp.jpg,1,0,5.25,12,en
628,0,/dnVCMhUIieECnWDCJVaf6VXj8IU.jpg,0,0,3.334,1,en
628,1,/wVuJrv9Jy35mMIZIU014Rna6aNk.jpg,1,0,3.334,1,
628,2,/2162lAT2MP36MyJd2sttmj5du5T.jpg,1,1,5.25,12,en
628,3,/o5DJGOdalg1BzDNprbbrbKcrOMe.jpg,1,0,2.542,4,en
635,0,/oHtF9HhgcFddFlsgktZxOuxg3QE.jpg,1,0,2.278,3,en
635,1,/6marxMzPTXAxvLs2qa2nuoe1YYo.jpg,1,0,1.75,4,en
635,2,/dSbOSMLBwqOBKM0xEXhcSJIUrPJ.jpg,1,0,3.334,1,
635,3,/h5v3wjJQNB7q2RntEnKDLhKtTFE.jpg,1,1,5.616,13,en
635,3,/v0vgFXmRQj163drHOXGQdTD4jcl.jpg,0,0,3.334,1,
653,0,/nG4v5d3MtWTWdKOQ4UCbwgNrRuN.jpg,1,0,10.0,4,en
653,0,/o1A6oEENbrxaScIzsyxi7CDd0Yd.jpg,0,0,5.25,8,en
653,1,/zv7J85D8CC9qYagAEhPM63CIG6j.jpg,1,1,4.722,10,en
653,2,/lsG4UFjL8SGKaH0Nz8vgFVJGifM.jpg,1,0,6.306,18,en
653,3,/kEkXNEzDZxBEvWV4Ou16tNuCH1C.jpg,1,0,4.656,16,en
663,0,/e3pLI0qN1AKGHwOcMuwTpyI2SLN.jpg,1,0,1.75,4,en
663,1,/1eCqgnI8zEVgL8V6axB2Yj22cTP.jpg,1,0,3.334,1,en
663,2,/bVs3CJ4vq4bHb7Td6MkqDANne4G.jpg,1,0,3.334,1,en
663,3,/ku1QdCXOU4ckz3zxLLlis8MIJVm.jpg,1,1,3.334,3,en
663,4,/pscAI6z7kYbQQvPLj7rGqoPmjXb.jpg,1,0,2.066,5,en
694,0,/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg,1,1,8.362,12,en
694,1,/lzp5K0IVklSAAvyId6TRGTqxZSX.jpg,1,0,7.542,8,en
694,2,/sNWdOLae80AdQkD1NpvcDN5f3PB.jpg,1,0,6.2,10,en
694,3,/baKA5UY6bcBDxvDQLp0KSntFEo8.jpg,1,0,5.786,7,
694,4,/fFYAlrOudDJRYs8tvuHbUk0OGdL.jpg,1,0,6.282,23,en
747,0,/y7eDuFR9DevYINfvTqA2TsWpJ85.jpg,1,0,4.818,11,en
747,0,/3qLDdgXfAe25iTObpHb4ZMEcUBV.jpg,0,0,3.334,2,en
747,1,/13vOO3DtEG0OYEbgcvVS6XimoIP.jpg,1,0,4.458,12,en
747,2,/dgXPhzNJH8HFTBjXPB177yNx6RI.jpg,1,1,3.666,12,en
747,3,/2LWFGDuOKqFv9iGZVat8RvXv244.jpg,1,0,6.312,8,en
755,0,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1,1,5.928,14,en
755,1,/fLWoPhwpgm9qlbOfkqzIb7KtsiD.jpg,1,0,3.334,1,en
755,2,/xs8xS14Oyhz0GpXQHpAc1hritOW.jpg,1,0,5.25,10,en
755,3,/uBoQytp3KTQFaVqTe6d0ECGaKh9.jpg,1,0,5.25,8,en
755,3,/zG9SwDc9MKl9kCrmHHqypVqUU5S.jpg,0,0,3.334,2,en
763,0,/ba2IvCjv6H1oVdHjaKtJ82rTDmK.jpg,1,0,5.25,10,en
763,1,/9AIU2zp0zwjrtdpVGF80Qw0t9qx.jpg,1,0,3.334,1,en
763,2,/pa39D8TQs6aNw3hiUs4jLjHVUB0.jpg,1,1,5.616,13,en
763,3,/vS76MpMqGuZy05OHdnptMwbl8Nl.jpg,1,0,3.334,1,en
763,4,/smqB82c15EjjW9Onn9HUILVRGVt.jpg,1,0,3.334,2,en
764,0,/54C1qdaiSijIU5NeNb4WsPJdNkG.jpg,1,1,5.25,20,en
764,1,/33zdFedDcyqK3ZWOmrBGlpeFhCl.jpg,1,0,4.572,15,en
764,2,/g40HtjdXXtVD2VkNqyIUZGBcGJ5.jpg,1,0,3.424,13,en
764,3,/uYxQ6xhP3WjqPZtxyAOnZQWnZqn.jpg,1,0,4.884,26,en
764,4,/9kwlaaJVKMX1SvsX2F1y0sRDuMs.jpg,1,0,3.666,12,en
765,0,/4zqCKJVHUolGs6C5AZwAZqLWixW.jpg,1,1,5.682,22,en
765,1,/OueEejF7UU2mEAVUEm4avCzPrw.jpg,1,0,3.334,3,en
765,2,/aWz4Dh5dB2uvdpFpTzpMHxgoTbJ.jpg,1,0,4.884,13,en
765,3,/cwIp2Ar1kABGwiztQmMQlhp4l3b.jpg,1,0,5.25,12,en
765,4,/lN3HYEnnKgHyun8ldUizTtPIjuB.jpg,1,0,5.25,13,en
766,0,/nWbVbFH42GxdKJZMmwlTKOkAMiX.jpg,1,0,6.312,8,en
766,1,/fDiQSv2cnMnqiDzhpA0mQu8T9sq.jpg,1,0,5.786,7,en
766,2,/boK4UQcL3w511hjZJV40G6XS2Ie.jpg,1,0,5.786,7,en
766,3,/9CLjbmB4X7e97CLqZxRhZhPkjqw.jpg,1,0,5.786,7,en
766,4,/xsgTuAtR2zSH8Umg3jWZcZjlDpe.jpg,1,1,7.286,14,en
768,0,/t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg,1,1,8.034,5,en
768,1,/2BFpFQpvA6h6iWu7vfuUKzLJKuU.jpg,1,0,6.722,6,en
768,2,/hE1RjzpDI2B9hTuIBES93XkcMTj.jpg,1,0,2.066,5,en
768,3,/104fN20btKytNdN6ld0NT4aO4yZ.jpg,1,0,3.334,1,
768,4,/fm7UYDMQSttQVSi6EdYgDEIi0X6.jpg,1,0,2.278,3,en
779,0,/c6ty6tzGQ3rxZ3SXHZoiHXHQNHt.jpg,1,0,2.278,3,en
779,1,/m7BKgeW06cgW5512wukfGhLsWGL.jpg,1,0,7.542,8,en
779,2,/1vrtR4AD0D798aQiQCD3NyBrRvK.jpg,1,0,7.19,7,en
779,3,/4Zvg6aqrTSUFkQIPRHaZJv04Cp8.jpg,1,0,3.334,1,
779,4,/yt3JS5JSoZseSohYkhs6FLU9B0O.jpg,1,1,4.3,10,en
790,0,/12EeSboRofP3CI4SPmMFNNXCbtY.jpg,1,1,6.346,13,en
790,1,/gZmdq8HB8SBdOHk5XarjCZIiGGk.jpg,1,0,6.2,15,en
790,2,/xKlwwKz040NTPcnWEJmEOEQBBWr.jpg,1,0,3.334,2,
790,3,/g9dbUQCU7aaDiEh5zMuX4K6pVey.jpg,1,0,3.334,2,
790,4,/nXoJcdeHQ1SGBo4yciPhK6mTn4U.jpg,1,0,5.25,8,en
791,0,/oyCsZV71nuq5upqUynbsp9m5hCe.jpg,1,1,0.0,0,en
791,0,/v9vt49PUDJGkrMVjhb3yiYo7H4Y.jpg,0,0,2.542,4,en
791,1,/faGixHOrZh5m9MLbYoj6ymi6rry.jpg,1,0,1.75,4,en
791,2,/zXdhSkysPDcYy4YE08Tgjkw1Toe.jpg,1,0,1.75,2,en
791,2,/9OFTFm4y2HVUCWc0NfARUENqsc2.jpg,0,0,0.166,1,en
794,0,/7h3zjHZPb6N2Xgl736vxe4ZgElB.jpg,1,0,3.334,2,en
794,1,/h8VxFxcjqN5IyjtWtkGQw95aEce.jpg,1,0,3.334,1,
794,2,/s7AYQzYCctUkGCAvo7KsSV7uTw5.jpg,1,0,3.334,1,en
794,3,/fJItvMCRUiBkzHeX4CjvXIsUa3v.jpg,1,0,3.334,1,en
794,4,/mDcjjEu1fMNmsXi4l4D8IftlTix.jpg,1,1,3.334,2,en
805,0,/uYgvlHceRFjAFbsNeMInYcLZLUb.jpg,1,1,8.362,6,en
805,1,/kKvQ0pyMnJweWVz2Pwbyeivq5Zk.jpg,1,0,5.778,8,en
805,2,/elQnUGjfcKbP2R8QCVAd6S43p4y.jpg,1,0,3.334,1,en
805,3,/gEpvzbyXcbJML2aUMOG7UQPfJke.jpg,1,0,3.334,1,en
805,4,/s8pdaHjxNPLXIA1WjSTWm00RJTz.jpg,1,0,3.666,24,en
806,0,/bffOrMDgNRq5YNW7zFnZeLzZCe9.jpg,1,0,3.334,1,
806,1,/kf1Qq9b32jn4umll9qD2ue5ftnh.jpg,1,1,3.334,2,en
806,2,/a9WzQBEMFHT57KhVf6caSe5EnRb.jpg,1,0,1.75,2,en
806,3,/gIbSlUoPZ23h2i7agM704pGloIH.jpg,1,0,3.334,1,en
806,4,/ldXqqtjvW1Iq5dXd2KYgHfVE6vq.jpg,1,0,0.166,1,en
814,0,/dlnccJQuRQuxnpDdDtmFlW7MKH1.jpg,1,0,4.97,17,en
814,1,/hVEqUASJmCQaolkKFEySCHZ8uKG.jpg,1,1,8.77,8,en
814,2,/b8mjNcbG0IDksL8Qx2EcGM8yXbJ.jpg,1,0,4.818,11,en
814,3,/irEKwh8006t02o41Xw7G5tIUF3r.jpg,1,0,5.778,9,en
814,4,/eodkN4ep7EHELRpyMdccSqvstlm.jpg,1,0,4.818,12,en
831,0,/bwq7eu4puHyrqMTsKpnUA3jXQI1.jpg,1,1,1.75,6,en
831,1,/qUbDMqnDnKPPGG1w8UJaWyMJ2tZ.jpg,1,0,1.75,2,en
831,2,/w4QXOl2H94Y8pbVfB9ihLgsfidC.jpg,1,0,1.75,2,en
831,3,/xLD82aAyyJM3EKZrEjpEpYBzSy6.jpg,1,0,1.75,2,en
831,4,/gfGRpiM7KU2LaHBEqOGKgNalM5p.jpg,1,0,1.75,4,en
837,0,/w5bqL9IiGIH0g4oq7ExFEq4KSl4.jpg,1,1,8.77,9,en
837,1,/dBqp1SxlqnJEHYDM9sNelXoQsO1.jpg,1,0,6.5,19,en
837,2,/eVP96dc5KRNsxUQjgGbCgDR7WL.jpg,1,0,5.25,10,en
837,3,/sYb74i6IMdIm58dIz9isfyYc6gA.jpg,1,0,3.334,1,en
837,4,/cPjRzkjmwe9rPYWhA72fSGtLx2N.jpg,1,0,5.25,8,en
923,0,/rC3YUoxZFTJAyS4BcZr7TeykrYH.jpg,1,1,4.458,12,en
923,1,/h6aVbUsiJB3Le1xrhyZXsXZOI3h.jpg,1,0,6.834,15,en
923,2,/3gx7VwU0OmvMihtiDmRNmsd4OG5.jpg,1,0,7.542,8,en
923,3,/9kGESwH451kRgm1h6Q0svAVK60N.jpg,1,0,5.53,17,en
923,4,/fy3OYvrPyJmvW1jVqdg3lhd39N3.jpg,1,0,3.334,1,en
924,0,/ttquyxStEEctzghtA2f4PUGprDr.jpg,1,1,6.312,8,en
924,0,/1fqwfUqYTYYxAKHZ1HkD8WC02WQ.jpg,0,0,3.334,2,en
924,1,/fNw87FZ6u258qmbkNNjrPtGZuvB.jpg,1,0,5.25,10,en
924,2,/cyIfbnRhzlBKNRUXZu17XT9uT9T.jpg,1,0,4.722,9,en
924,3,/iBLQATsIkv005fvIhhbM4MvqhYp.jpg,1,0,5.786,7,en
927,0,/rK4VnE5xnrkinsY296pz8RTKc33.jpg,1,1,5.25,11,en
927,1,/ipDo1JX0IpuszqQhRb30opSp14d.jpg,1,0,5.25,8,en
927,2,/cdTlXen7MWHxDdhdxsnm3PVvXJ0.jpg,1,0,5.25,8,en
927,3,/3iUgvvtB01BuTntPOBcG64kYk6y.jpg,1,0,5.778,9,en
927,4,/72Y1X9pMSjXQ7mKB6pBEoMhL0OQ.jpg,1,0,5.25,8,en
928,0,/jrqYfVxYbxtqSDXrSDrD4fIJ3Ul.jpg,1,1,5.778,9,en
928,1,/jN7yvxnIHRozhq2mzWZDE5GPRc0.jpg,1,0,6.282,22,en
928,2,/bxLE60QTlu1EFcEAKjT0MFX3469.jpg,1,0,3.334,1,
928,3,/1vq1kZQQRLoGeFmp2oTT0lEDxgc.jpg,1,0,3.334,1,
928,4,/3FeEcWPIVifDvElR6fRc9xwgofK.jpg,1,0,7.542,8,en
931,0,/mq3TW9GiF9MNlIEjnlL7D9X9tbx.jpg,1,0,4.722,9,en
931,0,/2EGEKoVkNLRg1FjYFpPuyeq5raB.jpg,0,0,3.334,1,en
931,1,/ivWsU3QtcstImCTOjItsH0SAbNn.jpg,1,1,10.0,4,en
931,2,/5V7if8k7YMQu7WKxJGr9ZsxZxaa.jpg,1,0,3.334,1,en
931,3,/e0cjsCOuVto4WXX9YwfIjoAnpES.jpg,1,0,3.334,2,en
948,0,/qVpCaBcnjRzGL3nOPHi6Suy0sB6.jpg,1,1,7.548,32,en
948,1,/jDS44DvGOsPYtjK326uEBets70F.jpg,1,0,5.616,13,en
948,2,/yzVhqSi3XkEQOovR4yy2lVTZiQO.jpg,1,0,4.656,16,en
