id,title,original_title,year,reason,n_candidates
894733,The Tragedy Of Doctor Jekyll And Mister Hyde,The Tragedy Of Doctor Jekyll And Mister Hyde,2021,no_title_year_match,0
896268,Man-Horse,Man-Horse,2021,no_title_year_match,0
911229,"It's Me, Billy","It's Me, Billy",2021,no_title_year_match,0
914572,Pandemic Hotel,Pandemic Hotel,2021,no_title_year_match,0
928313,The Strange Case of Dr. Jekyll and Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,1989,no_title_year_match,0
930765,The Undying Curse,The Undying Curse,2020,no_title_year_match,0
930308,Beasts: Baby,Beasts: Baby,1976,no_title_year_match,0
937693,1-900 Vampire,1-900 Vampire,2017,no_title_year_match,0
954600,Another!,Another!,2022,no_title_year_match,0
959307,The Woods: Man's Natural Enemy,The Woods: Man's Natural Enemy,2022,no_title_year_match,0
963140,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,2022,no_title_year_match,0
971725,Di Gal Bite Mi,Di Gal Bite Mi,2013,no_title_year_match,0
979094,Expediente 212 Archivo Fantasma,Expediente 212 Archivo Fantasma,2019,no_title_year_match,0
978071,Dead Vision,Dead Vision,2021,no_title_year_match,0
981631,"Tales of Terror from Tokyo and All Over Japan (Volume 3, Part 1)","Tales of Terror from Tokyo and All Over Japan (Volume 3, Part 1)",2007,no_title_year_match,0
987102,Turd Merchants of Death,Turd Merchants of Death,2009,no_title_year_match,0
988498,Highland Invasion,Highland Invasion,2022,no_title_year_match,0
989253,Sacrificial Lambs,Fórnar Lömb,2022,no_title_year_match,0
991953,Devil's Fairground,Devil's Fairground,2020,no_title_year_match,0
991182,Night of the Living Dead: 30th Anniversary Edition,Night of the Living Dead: 30th Anniversary Edition,2001,no_title_year_match,0
996327,Blood & Makeup: The Last Laugh of Blah Blah the Clown,Blood & Makeup: The Last Laugh of Blah Blah the Clown,2020,no_title_year_match,0
1000589,And the Wall Came Tumbling Down,And the Wall Came Tumbling Down,1984,no_title_year_match,0
999981,Death Cabin,Death Cabin,2000,no_title_year_match,0
1009154,Horny as Hell for Evil,Horny as Hell for Evil,2015,no_title_year_match,0
1012859,A Distant Scream,A Distant Scream,1984,no_title_year_match,0
1012824,The Corvini Inheritance,The Corvini Inheritance,1985,no_title_year_match,0
1015721,The Spirit Box,The Spirit Box,2009,no_title_year_match,0
1016519,S.O.V. The True Independents,S.O.V. The True Independents,2018,no_title_year_match,0
1022828,Octoberland,Octoberland,2016,no_title_year_match,0
1025508,Junji Inagawa's Mystery Night Tour 2020,Junji Inagawa's Mystery Night Tour 2020,2020,no_title_year_match,0
1032890,Welcome to the Occult Forest,Welcome to the Occult Forest,2022,no_title_year_match,0
1032667,Shaye Saint John: The Triggers Compilation,Shaye Saint John: The Triggers Compilation,2006,no_title_year_match,0
1031989,The Mutilator Watchalong Live,The Mutilator Watchalong Live,2021,no_title_year_match,0
362702,The Skulls of Terror Return,Vuelven las calaveras del terror,1944,no_title_year_match,0
957841,Silent Monologues,Silent Monologues,2023,no_title_year_match,0
1019581,Gouge Away,Gouge Away,2023,no_title_year_match,0
1045940,Barkley Dubis' Danse Macabre,Barkley Dubis' Danse Macabre,2023,no_title_year_match,0
1046021,I am Perfectly Normal: Part II,I am Perfectly Normal: Part II,2023,no_title_year_match,0
1064418,Auteur,Auteur,2023,no_title_year_match,0
1074103,The Awnik,The Awnik,2023,no_title_year_match,0
1083669,Between the Ocean and the Clouds,Between the Ocean and the Clouds,2024,no_title_year_match,0
1086611,Monotonous Green,Monotonous Green,2023,no_title_year_match,0
1093098,MUSTARD,MUSTARD,2025,no_title_year_match,0
1101818,Imposter Cleaning Crew,Imposter Cleaning Crew,2023,no_title_year_match,0
1103391,The James Allen Vianes Show,The James Allen Vianes Show,2023,no_title_year_match,0
1117550,Scared Crazy,Scared Crazy,2023,no_title_year_match,0
1124630,Dinner By Breakfast,Dinner By Breakfast,2023,no_title_year_match,0
1139126,The Pill,The Pill,2023,no_title_year_match,0
1145765,"Up, Up, & Up","Up, Up, & Up",2023,no_title_year_match,0
1160618,Variant II,Variant II,2023,no_title_year_match,0
1161988,The Redeye Tapes,The Redeye Tapes,2023,no_title_year_match,0
1163878,Saco Part II,Saco Part II,2025,no_title_year_match,0
1166240,Our House Is Not Haunted,Our House Is Not Haunted,2023,no_title_year_match,0
1173214,Mama Casserole,Mama Casserole,2023,no_title_year_match,0
1183937,Auditions for Her Nightmare,Auditions for Her Nightmare,2023,no_title_year_match,0
1185927,I Heard You Edit Baby Videos,I Heard You Edit Baby Videos,2023,no_title_year_match,0
1185950,Black Forest,Black Forest,2023,no_title_year_match,0
1185980,Black Forest 2,Black Forest 2,2023,no_title_year_match,0
1185988,Black Forest 3,Black Forest 3,2023,no_title_year_match,0
1189281,Grand Hampton the Movie: Anthology,Grand Hampton the Movie: Anthology,2023,no_title_year_match,0
1193038,Maya Valai,Maya Valai,2023,no_title_year_match,0
1194372,Hiding Henry,Hiding Henry,2024,no_title_year_match,0
1194816,Surviving a Week at the Real Conjuring House,Surviving a Week at the Real Conjuring House,2023,no_title_year_match,0
1198618,"Young Blondes, Stalked and Murdered","Young Blondes, Stalked and Murdered",2024,no_title_year_match,0
1208069,"End All, Say All","End All, Say All",2024,no_title_year_match,0
1214421,What's Wrong With You?,What's Wrong With You?,2024,no_title_year_match,0
1225091,Sex Pervert Kills A Sasquach,Sex Pervert Kills A Sasquach,2023,no_title_year_match,0
1226617,The Salvages,The Salvages,2024,no_title_year_match,0
1227907,Redgate,Redgate,2023,no_title_year_match,0
1228463,Behind the Camera,Behind the Camera,2023,no_title_year_match,0
1230431,The Bizarre Trial of Doctor victor Frankenstien,The Bizarre Trial of Doctor victor Frankenstien,2025,no_title_year_match,0
1234015,The Gocuyyeh Tapes,The Gocuyyeh Tapes,2024,no_title_year_match,0
1239657,The Last Beta Player,The Last Beta Player,2023,no_title_year_match,0
1244062,Vimy Bridge,Vimy Bridge,2024,no_title_year_match,0
1245234,From The Other Side Of The Window,S Druge Strane Prozora,2023,no_title_year_match,0
1255162,Question Mark (?),Question Mark (?),2024,no_title_year_match,0
1256728,Short Shits,Short Shits,2024,no_title_year_match,0
1263318,It's Only a Movie,It's Only a Movie,2023,no_title_year_match,0
1274566,The Demoniacal,The Demoniacal,2023,no_title_year_match,0
1277003,Empath,Empath,2024,no_title_year_match,0
1278989,Wake The Dead,Wake The Dead,2023,no_title_year_match,0
1283609,Night Owls Episode 335,Night Owls Episode 335,2024,no_title_year_match,0
1284008,"Tales of the Twisted, True & Macabre","Tales of the Twisted, True & Macabre",2024,no_title_year_match,0
