id,title,year
1274792,The Tell-Tale Heart,1979
1274809,The Ghost Soldier,1979
1274813,The Scythe,1979
1275700,Ten Little Indians,1949
1276472,The Strange Case of Dr. Jekyll and Mr. Hyde,1967
1277577,Madeleine,2015
1278443,Killer,1996
1280702,Alone,2023
1284274,The Haunting of Hewie Dowker,1976
1287426,The Tunnel: Beneath the Surface,2011
1287481,Black Ewe,2022
1290366,Eat Me,2024
1292555,Farewell Nightmare Theatre,1977
1296665,Providence,2006
1297467,The Exorcist: Martyrs,2027
1297599,Sweet Brother,2023
1301696,Frankenstein Walks Again,1978
1304712,Son of Frankenstein,1979
1305764,The Festival,2010
1305942,An Archivist's Search for Meaning,9999
1306667,Thark,1957
1307632,Wrong Ones,2021
1309181,Killer Zombie,1978
1309211,The Alien,1979
1311987,Dead Slate: Beginnings,2022
1312473,The Devil on Derby Street,2023
1312576,Dr. Cadaverino's Halloween Special,1980
1313024,The Return of Roland,1985
1313027,Kindred Spirits,1984
1313960,Cyanide Love,2018
1315514,Blood for Blood's Sake,2020
1315515,Shoes,2024
1316185,The Whisperer in Darkness,1975
1316210,Tortuga!,1976
1316760,Resident Evil: The Final Chapter Retaliation Mode,2017
1317055,The Ruins,1972
1317068,Dracula Trucks Again,1976
1317081,Shell,1973
1317083,Dr. Jekyll Meets the Invisible Man,1977
1318253,Happy Halloween,1989
1318302,Video Victims,1983
1319023,Ghost Factory,2024
1319366,What Lies Within the Darkness,2024
1319368,The Night the Dead Walked,2023
1319370,House of Wrathiticus,2011
1321229,Z-TV,1989
1321903,The Four Poster,1964
1325456,Would You?,2024
1328546,What Happens After Midnight,2024
1329583,Mirror Image: What Do You See in the Mirror,2003
1329586,Silver Scream,2003
1331261,Plan 10: The Vengeance of Bela,1983
1331275,The Raven,1988
1333098,Dead of Night,2001
1335856,Prone,9999
1339547,Trilby and Svengali,1911
1339904,Weed of the Living Dead,2010
1341983,The Cave,2020
1354000,Prayer,2023
1354755,Welcome Back Mr. Fox,1986
1356296,Resurrection Mary,2002
1356797,Bonkey: The Mutated,2026
1358226,Stranglehold,1981
1363016,Stable House,2012
1365986,Chiller Theatre Fiend Club Show: Volume 3,1996
1366502,The Crypt Keeper Presents: A Spine-Tingling Look at Tales from the Crypt,1995
1367532,The Terrible Old Man,2001
1367656,Desperate Scribbles,2013
1369198,Chiller Theatre Fiend Club Show: Volume 2,1996
1369581,Hostage,2008
1369835,Swim with Me,2016
1369837,The Butchers of Daley Ranch,2016
1369844,Contrition,2018
1369852,Invisible Man,2018
1370231,Darkmoon,2010
1371840,Poopie Parade of Values,1995
1371856,Audition,2012
1371999,ADS-7 Good Friday Easter Appeal Marathon,1977
1372001,Halloween Special,1975
1372005,Freaky Black Friday Spook Special,1970
1372013,Deadly Earnest's Spooky Colour Marathon,1975
1372016,Terrorthon Spectacular,1970
1372145,Gemma,2016
1372917,Angie,2023
1373434,The Last Man,2010
1373982,Agatha Christie’s The Last Seance,1986
1375715,Dr. Madblood's Halloween Film Festival,1986
1375716,Dr. Madblood's Halloween Howl,1984
1375718,Dr. Madblood's Halloween,1994
1375720,Doctor Madblood's Halloween Horror Express,2007
1375722,Doctor Madblood's Haunted Halloween,2009
1376362,La Vie Secrète des Objets,2001
1378053,Talk of the Dead,2016
1382895,Grandma's Cookies: A Christmas Tale,2024
1383845,No Shark,2022
1388439,Mafia Exorcist,2017
1389998,Demon Nurses from Hell,2014
1390252,Darkside Stories,2017
1391185,Night,2011
1394555,The Ascendents Anthology,2016
1395649,The Resurrectionist,2016
1404424,"Battle of Evil, Part 2",2014
1404680,The Wounded and The Watcher,2024
1406754,Call of Tutu,2006
1407761,Prophecy,1995
1408859,R.E.M.,1987
1408864,Save My Soul,1984
1409390,Love and Core,2012
1412515,Slayground,2012
1412648,She Looks Familiar,2018
1415142,Makeover,2015
1416976,The Banshee Bride,2013
1421804,Rebeccah's Statement,2018
1422967,The Minotaur,1910
1423805,Glitch,2018
1425316,American Kensho: Manifest Destiny,2017
1427561,Shelter,2008
1430327,Bad Deal,2019
1430640,Don't Skimp on the Undead,2016
1433235,Crazy,2010
1433258,Croatoan: Origins,2015
1433273,Cthulhu's Witnesses,2013
1434503,Kitten in the Cat Trap,2011
1435889,Vampire Playmates 2,2004
1440272,The Cursed Doll,2007
1446762,Apples,2016
1446995,Tremble,2019
1449641,The Hereditary,2024
1449833,Walking After Midnight,2012
1451555,The Corrupt Half,2017
1452659,Goth Girls,2005
1456113,The Dark Tower,2020
1465188,Show Me,2011
1477352,Short Sharp Shocks,2015
1477442,Recon,1996
1479143,The Gifted,1989
1479157,The Curse of the Beastman,1995
1480271,The Unlucky,9999
1488712,Fcb TV Show No.1,1955
1498024,Victim No More,2022
1499587,Dark Vengeance,1980
1499590,The Lurking,1985
1499591,The Stalker,1985
1502304,Scary Film,2015
1502447,Viewer Discretion Advised,2025
1505092,Sock Monster,2017
1507997,Revenge of the Calendar Girls,1995
1511801,Gaggle,2021
1512385,Powerless,2019
1514108,I.V. League,2017
1519151,Sounds Like A Great Project!,2024
1528693,Very Cool,9999
1530394,Zombies from Ireland,2013
1532880,Turn It Off,2025
1538806,Ominous,2017
1540310,ScareBNB,9999
1541406,The Pickpocket,1955
1544453,Safe and Sound,1956
1544463,The Inveterate Gambler,1956
1549895,Survival of the Wolves,2022
