id,title,year,width,height,aspect,reason
1369837,The Butchers of Daley Ranch,2016,1000,667,1.4993,landscape
1370231,Darkmoon,2010,1000,563,1.7762,landscape
1371840,Poopie Parade of Values,1995,1000,769,1.3004,landscape
1371856,Audition,2012,1000,730,1.3699,landscape
1371999,ADS-7 Good Friday Easter Appeal Marathon,1977,1000,745,1.3423,landscape
1372001,Halloween Special,1975,1000,790,1.2658,landscape
1372013,Deadly Earnest's Spooky Colour Marathon,1975,1000,762,1.3123,landscape
1372016,Terrorthon Spectacular,1970,1000,522,1.9157,landscape
1372145,Gemma,2016,1000,450,2.2222,landscape
1372917,Angie,2023,1000,563,1.7762,landscape
1376362,La Vie Secrète des Objets,2001,1000,559,1.7889,landscape
1378988,Maldoror,2001,300,220,1.3636,landscape
1389998,Demon Nurses from Hell,2014,1000,541,1.8484,landscape
1390252,Darkside Stories,2017,1000,944,1.0593,landscape
1391185,Night,2011,1000,753,1.328,landscape
1394555,The Ascendents Anthology,2016,1000,526,1.9011,landscape
1404680,The Wounded and The Watcher,2024,1000,563,1.7762,landscape
1407342,When Books Fly,2024,300,169,1.7751,landscape
1407761,Prophecy,1995,1000,751,1.3316,landscape
1408858,His Eyes,1996,300,196,1.5306,landscape
1408859,R.E.M.,1987,1000,638,1.5674,landscape
1408864,Save My Soul,1984,1000,625,1.6,landscape
1409390,Love and Core,2012,1000,563,1.7762,landscape
1411194,Slaypril Fools 93D: Prankster's Paradise,2024,300,300,1.0,square
1415142,Makeover,2015,1000,667,1.4993,landscape
1416695,Scam To Horror,2025,300,169,1.7751,landscape
1421512,Thirty-Five,2025,300,169,1.7751,landscape
1422967,The Minotaur,1910,1000,888,1.1261,landscape
1423805,Glitch,2018,1000,564,1.773,landscape
1425316,American Kensho: Manifest Destiny,2017,1000,563,1.7762,landscape
1427561,Shelter,2008,1000,563,1.7762,landscape
1433235,Crazy,2010,1000,1000,1.0,square
1434503,Kitten in the Cat Trap,2011,1000,539,1.8553,landscape
1435889,Vampire Playmates 2,2004,1000,625,1.6,landscape
1440272,The Cursed Doll,2007,1000,750,1.3333,landscape
1453879,The Power,1968,300,219,1.3699,landscape
1453883,Murder!,1967,300,229,1.31,landscape
1454845,Do Not Disturbed,2014,300,170,1.7647,landscape
1456113,The Dark Tower,2020,1000,553,1.8083,landscape
1466345,Red Pine: 1889,2020,300,218,1.3761,landscape
1477352,Short Sharp Shocks,2015,1000,563,1.7762,landscape
