id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason,tmdb_poster_path,src,dest,status,error
110772,Stille Nacht IV: Can't Go Wrong Without You,Stille Nacht IV: Can't Go Wrong Without You,1993,110772.jpg,0.0,0.2174,1CHe4IOSHYoZzb7oV7eh4lVUH1x,posters_multi/110772/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,0.875,0.6667,0.875,0.4493,3,1,overlap_gain,/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,posters_multi/110772/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,posters/110772.jpg,ok,
125294,Rough Draft,Rough Draft,,125294.jpg,0.0,0.1446,w46brjapQYaZon6GHtiVeehmJ4T,posters_multi/125294/w46brjapQYaZon6GHtiVeehmJ4T.jpg,1.0,0.274,1.0,0.1294,2,1,overlap_gain,/w46brjapQYaZon6GHtiVeehmJ4T.jpg,posters_multi/125294/w46brjapQYaZon6GHtiVeehmJ4T.jpg,posters/125294.jpg,ok,
128655,Haunted High,Haunted High,2012,128655.jpg,0.0,0.1765,ifZy0E6ulw73yb2pbkaKiQAr07T,posters_multi/128655/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,0.5,0.1639,0.5,-0.0126,3,1,overlap_gain,/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,posters_multi/128655/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,posters/128655.jpg,ok,
131575,Fear Has 1000 Eyes,Skräcken har 1000 ögon,1970,131575.jpg,0.0,0.2,vwz6fTY8YFkouYjeTMJY9l4pEwq,posters_multi/131575/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg,0.75,1.0,0.75,0.8,2,1,overlap_gain,/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg,posters_multi/131575/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg,posters/131575.jpg,ok,
135973,Pennhurst,Pennhurst,2012,135973.jpg,0.0,0.1667,nB5XpTMsO6ukDV0vzjseM45sKFa,posters_multi/135973/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,1.0,0.1295,1.0,-0.0372,2,1,overlap_gain,/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,posters_multi/135973/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,posters/135973.jpg,ok,
144839,Evil Stalks This House,Evil Stalks This House,1981,144839.jpg,0.0,0.4571,62F7aEOKyqmfkDtG4fN9YZasGsY,posters_multi/144839/62F7aEOKyqmfkDtG4fN9YZasGsY.jpg,1.0,1.0,1.0,0.5429,2,1,overlap_gain,/62F7aEOKyqmfkDtG4fN9YZasGsY.jpg,posters_multi/144839/62F7aEOKyqmfkDtG4fN9YZasGsY.jpg,posters/144839.jpg,ok,
163543,Shelf Life,Shelf Life,2004,163543.jpg,0.0,0.086,75jaF5REzdTuGUTs4fZoNkk0iHZ,posters_multi/163543/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,1.0,0.0036,1.0,-0.0824,2,1,overlap_gain,/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,posters_multi/163543/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,posters/163543.jpg,ok,
200803,Altered Species,Altered Species,2001,200803.jpg,0.0,0.3529,93mzxkyy5kaDM1fXXTL2f7yWdHv,posters_multi/200803/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,1.0,0.5957,1.0,0.2428,3,1,overlap_gain,/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,posters_multi/200803/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,posters/200803.jpg,ok,
204611,The McPherson Tape,The McPherson Tape,1989,204611.jpg,0.0,0.2078,7HT0pnqdIejrjciSnYDvVGL4rXB,posters_multi/204611/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,1.0,1.0,1.0,0.7922,5,1,overlap_gain,/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,posters_multi/204611/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,posters/204611.jpg,ok,
208703,Rufus,Rufus,2013,208703.jpg,0.0,0.1031,4HaHva32h3bZ7UfbQmOhzbGJ0Gb,posters_multi/208703/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,1.0,1.0,1.0,0.8969,4,1,overlap_gain,/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,posters_multi/208703/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,posters/208703.jpg,ok,
216139,Burned at the Stake,Burned at the Stake,1981,216139.jpg,0.25,0.0127,qmMaHJxlcOG7ZByHbO3DPR2KUVD,posters_multi/216139/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,0.5,0.0126,0.25,-0.0001,5,1,overlap_gain,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,posters_multi/216139/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,posters/216139.jpg,ok,
217903,El virus del poder,El virus del poder,1988,217903.jpg,0.25,0.1118,wnx0OxIJiWfChDJ2GuGsKqk4RWS,posters_multi/217903/wnx0OxIJiWfChDJ2GuGsKqk4RWS.jpg,1.0,0.25,0.75,0.1382,1,1,overlap_gain,/wnx0OxIJiWfChDJ2GuGsKqk4RWS.jpg,posters_multi/217903/wnx0OxIJiWfChDJ2GuGsKqk4RWS.jpg,posters/217903.jpg,ok,
223281,The Unspeakable,The Unspeakable,1996,223281.jpg,0.0,0.1379,k3QdOgPjhJsjbd4xjM96gGzPcxr,posters_multi/223281/k3QdOgPjhJsjbd4xjM96gGzPcxr.jpg,1.0,1.0,1.0,0.8621,2,1,overlap_gain,/k3QdOgPjhJsjbd4xjM96gGzPcxr.jpg,posters_multi/223281/k3QdOgPjhJsjbd4xjM96gGzPcxr.jpg,posters/223281.jpg,ok,
244305,The Ice House,The Ice House,1969,244305.jpg,0.3333,0.1205,x0SzhzlHaOL0oJXo0NkXjPpF9aN,posters_multi/244305/x0SzhzlHaOL0oJXo0NkXjPpF9aN.jpg,1.0,0.1078,0.6667,-0.0127,2,1,overlap_gain,/x0SzhzlHaOL0oJXo0NkXjPpF9aN.jpg,posters_multi/244305/x0SzhzlHaOL0oJXo0NkXjPpF9aN.jpg,posters/244305.jpg,ok,
250788,Savage Encounter,Savage Encounter,1980,250788.jpg,0.0,0.3,4Y2Kmg6NLLy4KX9egc5D4Zb2O5I,posters_multi/250788/4Y2Kmg6NLLy4KX9egc5D4Zb2O5I.jpg,1.0,0.2542,1.0,-0.0458,2,1,overlap_gain,/4Y2Kmg6NLLy4KX9egc5D4Zb2O5I.jpg,posters_multi/250788/4Y2Kmg6NLLy4KX9egc5D4Zb2O5I.jpg,posters/250788.jpg,ok,
272100,Supernatural,Sobrenatural,1982,272100.jpg,0.0,0.3529,53KU5vgHQtjh5xwFqbRmDUVZYqj,posters_multi/272100/53KU5vgHQtjh5xwFqbRmDUVZYqj.jpg,1.0,1.0,1.0,0.6471,5,1,overlap_gain,/53KU5vgHQtjh5xwFqbRmDUVZYqj.jpg,posters_multi/272100/53KU5vgHQtjh5xwFqbRmDUVZYqj.jpg,posters/272100.jpg,ok,
275203,Locked in a Room,Locked in a Room,2012,275203.jpg,0.0,0.1395,qCVl8zow8BuYhPrIeXExTnGE7pm,posters_multi/275203/qCVl8zow8BuYhPrIeXExTnGE7pm.jpg,1.0,0.7692,1.0,0.6297,2,1,overlap_gain,/qCVl8zow8BuYhPrIeXExTnGE7pm.jpg,posters_multi/275203/qCVl8zow8BuYhPrIeXExTnGE7pm.jpg,posters/275203.jpg,ok,
290696,Dysmorphia,Dysmorphia,2014,290696.jpg,0.0,0.1818,2ljxAHBIQKNBgSuLGamPwPKGYBU,posters_multi/290696/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,1.0,1.0,1.0,0.8182,5,1,overlap_gain,/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,posters_multi/290696/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,posters/290696.jpg,ok,
290732,VIViD,VIViD,2011,290732.jpg,0.0,0.0769,VirWpx8UbFlKk2LuUIPJrCcBbn,posters_multi/290732/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,1.0,0.4762,1.0,0.3993,5,1,overlap_gain,/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,posters_multi/290732/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,posters/290732.jpg,ok,
300817,Graves & Bones,Grafir og bein,2014,300817.jpg,0.0,0.1053,cXnLR3frbI1ZrEuy2j7Ub7xic0,posters_multi/300817/cXnLR3frbI1ZrEuy2j7Ub7xic0.jpg,1.0,1.0,1.0,0.8947,1,1,overlap_gain,/cXnLR3frbI1ZrEuy2j7Ub7xic0.jpg,posters_multi/300817/cXnLR3frbI1ZrEuy2j7Ub7xic0.jpg,posters/300817.jpg,ok,
302038,An Erotic Tale of Ms. Dracula,An Erotic Tale of Ms. Dracula,,302038.jpg,0.3333,0.3607,nBrYeXLAdqlH30CO2VpMTXgXeTk,posters_multi/302038/nBrYeXLAdqlH30CO2VpMTXgXeTk.jpg,1.0,1.0,0.6667,0.6393,3,1,overlap_gain,/nBrYeXLAdqlH30CO2VpMTXgXeTk.jpg,posters_multi/302038/nBrYeXLAdqlH30CO2VpMTXgXeTk.jpg,posters/302038.jpg,ok,
303898,Cut Throat,Cut Throat,2002,303898.jpg,0.0,0.1176,xtxOdFj4yUZdGMYaTNHaA7VOEaT,posters_multi/303898/xtxOdFj4yUZdGMYaTNHaA7VOEaT.jpg,1.0,0.5806,1.0,0.463,4,1,overlap_gain,/xtxOdFj4yUZdGMYaTNHaA7VOEaT.jpg,posters_multi/303898/xtxOdFj4yUZdGMYaTNHaA7VOEaT.jpg,posters/303898.jpg,ok,
309063,The Ouija Experiment 2: Theatre of Death,The Ouija Experiment 2: Theatre of Death,2015,309063.jpg,0.1667,0.3947,oqOvK0nyUCA32qp4xsNONzgMKkR,posters_multi/309063/oqOvK0nyUCA32qp4xsNONzgMKkR.jpg,0.8333,0.725,0.6666,0.3303,3,1,overlap_gain,/oqOvK0nyUCA32qp4xsNONzgMKkR.jpg,posters_multi/309063/oqOvK0nyUCA32qp4xsNONzgMKkR.jpg,posters/309063.jpg,ok,
321768,Captive,Captive,2014,321768.jpg,0.0,0.1622,Amqdt4zL6wt5StJNxR4blfyMFu8,posters_multi/321768/Amqdt4zL6wt5StJNxR4blfyMFu8.jpg,1.0,0.026,1.0,-0.1362,2,1,overlap_gain,/Amqdt4zL6wt5StJNxR4blfyMFu8.jpg,posters_multi/321768/Amqdt4zL6wt5StJNxR4blfyMFu8.jpg,posters/321768.jpg,ok,
328939,Cheerleader Camp 2 the Death,Cheerleader Camp 2 the Death,2023,328939.jpg,0.0,0.3182,sbrOnyatrFN11VO0EDWtsbYakni,posters_multi/328939/sbrOnyatrFN11VO0EDWtsbYakni.jpg,1.0,1.0,1.0,0.6818,5,1,overlap_gain,/sbrOnyatrFN11VO0EDWtsbYakni.jpg,posters_multi/328939/sbrOnyatrFN11VO0EDWtsbYakni.jpg,posters/328939.jpg,ok,
332689,Playing with Dolls,Playing with Dolls,2015,332689.jpg,0.0,0.1935,c2dgNpCRWc1zlgltuvqjyOuiJfY,posters_multi/332689/c2dgNpCRWc1zlgltuvqjyOuiJfY.jpg,1.0,1.0,1.0,0.8065,5,1,overlap_gain,/c2dgNpCRWc1zlgltuvqjyOuiJfY.jpg,posters_multi/332689/c2dgNpCRWc1zlgltuvqjyOuiJfY.jpg,posters/332689.jpg,ok,
373027,Geheimnisvolle Freundinnen,Geheimnisvolle Freundinnen,2003,373027.jpg,0.0,0.2529,fRSAhijgMYl8xnYgfEuvkVicVx2,posters_multi/373027/fRSAhijgMYl8xnYgfEuvkVicVx2.jpg,1.0,0.3268,1.0,0.0739,1,1,overlap_gain,/fRSAhijgMYl8xnYgfEuvkVicVx2.jpg,posters_multi/373027/fRSAhijgMYl8xnYgfEuvkVicVx2.jpg,posters/373027.jpg,ok,
392051,The Damned Thing,The Damned Thing,2014,392051.jpg,0.0,0.2963,vbvnKjnH4uDvYcnhe9yb6BOnAXd,posters_multi/392051/vbvnKjnH4uDvYcnhe9yb6BOnAXd.jpg,1.0,1.0,1.0,0.7037,2,1,overlap_gain,/vbvnKjnH4uDvYcnhe9yb6BOnAXd.jpg,posters_multi/392051/vbvnKjnH4uDvYcnhe9yb6BOnAXd.jpg,posters/392051.jpg,ok,
404713,Downhill,Downhill,2016,404713.jpg,0.0,0.1562,mhEzwO6HbYwifOoqe5NUIx2YmAT,posters_multi/404713/mhEzwO6HbYwifOoqe5NUIx2YmAT.jpg,1.0,0.1553,1.0,-0.0009,1,1,overlap_gain,/mhEzwO6HbYwifOoqe5NUIx2YmAT.jpg,posters_multi/404713/mhEzwO6HbYwifOoqe5NUIx2YmAT.jpg,posters/404713.jpg,ok,
412471,Dark Silence,Dark Silence,2016,412471.jpg,0.0,0.2466,pnZDyaoo9OSm2tAHMqf03z9YNWz,posters_multi/412471/pnZDyaoo9OSm2tAHMqf03z9YNWz.jpg,1.0,1.0,1.0,0.7534,4,1,overlap_gain,/pnZDyaoo9OSm2tAHMqf03z9YNWz.jpg,posters_multi/412471/pnZDyaoo9OSm2tAHMqf03z9YNWz.jpg,posters/412471.jpg,ok,
417180,Vacant House,Vacant House,2016,417180.jpg,0.0,0.2642,jNwRbjsHBDDaYqUOqYUMogRx86R,posters_multi/417180/jNwRbjsHBDDaYqUOqYUMogRx86R.jpg,1.0,0.5946,1.0,0.3304,2,1,overlap_gain,/jNwRbjsHBDDaYqUOqYUMogRx86R.jpg,posters_multi/417180/jNwRbjsHBDDaYqUOqYUMogRx86R.jpg,posters/417180.jpg,ok,
421490,Tall Men,Tall Men,2016,421490.jpg,0.0,0.0,mC7FhsDmkPvCyIBX2FHXDTBlS8R,posters_multi/421490/mC7FhsDmkPvCyIBX2FHXDTBlS8R.jpg,1.0,1.0,1.0,1.0,5,1,overlap_gain,/mC7FhsDmkPvCyIBX2FHXDTBlS8R.jpg,posters_multi/421490/mC7FhsDmkPvCyIBX2FHXDTBlS8R.jpg,posters/421490.jpg,ok,
461724,The Spirits of Jupiter,The Spirits of Jupiter,1984,461724.jpg,0.0,0.2295,tViJzQsFKI1X296wq7PzJzOcXOh,posters_multi/461724/tViJzQsFKI1X296wq7PzJzOcXOh.jpg,1.0,0.0474,1.0,-0.1821,3,1,overlap_gain,/tViJzQsFKI1X296wq7PzJzOcXOh.jpg,posters_multi/461724/tViJzQsFKI1X296wq7PzJzOcXOh.jpg,posters/461724.jpg,ok,
477576,DeadThirsty,DeadThirsty,2017,477576.jpg,0.0,0.2712,5IvHHunMpvMCLhtUB2nrB6XuVru,posters_multi/477576/5IvHHunMpvMCLhtUB2nrB6XuVru.jpg,1.0,0.3284,1.0,0.0572,5,1,overlap_gain,/5IvHHunMpvMCLhtUB2nrB6XuVru.jpg,posters_multi/477576/5IvHHunMpvMCLhtUB2nrB6XuVru.jpg,posters/477576.jpg,ok,
492535,Darkness Wakes,Darkness Wakes,2017,492535.jpg,0.0,0.186,ASqBv56EQBndrW1xW9jLT6bQdU,posters_multi/492535/ASqBv56EQBndrW1xW9jLT6bQdU.jpg,1.0,1.0,1.0,0.814,5,1,overlap_gain,/ASqBv56EQBndrW1xW9jLT6bQdU.jpg,posters_multi/492535/ASqBv56EQBndrW1xW9jLT6bQdU.jpg,posters/492535.jpg,ok,
529744,Princess: Voices from Hell,Princess: Voices from Hell,2017,529744.jpg,0.0,0.1587,7i43LjzlVLNW5K4bqYelNFQrbrf,posters_multi/529744/7i43LjzlVLNW5K4bqYelNFQrbrf.jpg,1.0,0.5057,1.0,0.347,3,1,overlap_gain,/7i43LjzlVLNW5K4bqYelNFQrbrf.jpg,posters_multi/529744/7i43LjzlVLNW5K4bqYelNFQrbrf.jpg,posters/529744.jpg,ok,
543901,P.O.E. Pieces of Eldritch (P.O.E. 3),P.O.E. Pieces of Eldritch (P.O.E. 3),2014,543901.jpg,0.3333,0.3019,c098e6tUfrQMFDgBLBpYD5CaC0W,posters_multi/543901/c098e6tUfrQMFDgBLBpYD5CaC0W.jpg,0.6667,0.3471,0.3334,0.0452,2,1,overlap_gain,/c098e6tUfrQMFDgBLBpYD5CaC0W.jpg,posters_multi/543901/c098e6tUfrQMFDgBLBpYD5CaC0W.jpg,posters/543901.jpg,ok,
549646,Diggerz: Black Lung Rises,Diggerz: Black Lung Rises,2019,549646.jpg,0.0,0.1818,nb9UxBTLWXkl41BufCUwWUSk7oH,posters_multi/549646/nb9UxBTLWXkl41BufCUwWUSk7oH.jpg,1.0,0.5246,1.0,0.3428,3,1,overlap_gain,/nb9UxBTLWXkl41BufCUwWUSk7oH.jpg,posters_multi/549646/nb9UxBTLWXkl41BufCUwWUSk7oH.jpg,posters/549646.jpg,ok,
549703,Girls Just Wanna Have Blood,Girls Just Wanna Have Blood,2020,549703.jpg,0.0,0.0084,aaNadgdzHvSxGz4o2IB0AsE12nq,posters_multi/549703/aaNadgdzHvSxGz4o2IB0AsE12nq.jpg,1.0,1.0,1.0,0.9916,3,1,overlap_gain,/aaNadgdzHvSxGz4o2IB0AsE12nq.jpg,posters_multi/549703/aaNadgdzHvSxGz4o2IB0AsE12nq.jpg,posters/549703.jpg,ok,
559928,Heaven's War,Heaven's War,2018,559928.jpg,0.0,0.0918,5styoxyGlxoms3QiSxBW6rhTdvf,posters_multi/559928/5styoxyGlxoms3QiSxBW6rhTdvf.jpg,1.0,1.0,1.0,0.9082,3,1,overlap_gain,/5styoxyGlxoms3QiSxBW6rhTdvf.jpg,posters_multi/559928/5styoxyGlxoms3QiSxBW6rhTdvf.jpg,posters/559928.jpg,ok,
