id,source,status,in_w,in_h,out_w,out_h,error
128841,up,ok,1920,2880,1000,1500,
128866,orig,ok,1000,1500,1000,1500,
128896,orig,ok,2000,3000,1000,1500,
128917,orig,ok,1500,2250,1000,1500,
128971,orig,ok,1000,1500,1000,1500,
129195,up,ok,1000,1500,1000,1500,
129298,up,ok,1000,1500,1000,1500,
129418,orig,ok,2000,3000,1000,1500,
129481,orig,ok,1290,1935,1000,1500,
129524,orig,ok,1280,1841,1000,1500,
129663,up,ok,1000,1500,1000,1500,
129668,orig,ok,1000,1500,1000,1500,
129761,orig,ok,1936,2752,1000,1500,
129798,up,ok,1000,1500,1000,1500,
129858,orig,ok,2000,3000,1000,1500,
130018,up,ok,1920,2880,1000,1500,
130366,up,ok,1200,1778,1000,1500,
130421,orig,ok,1000,1500,1000,1500,
130802,orig,ok,1400,2100,1000,1500,
130864,orig,ok,1960,2972,1000,1500,
131083,up,ok,1920,2880,1000,1500,
131123,orig,ok,1000,1500,1000,1500,
131212,up,ok,1000,1500,1000,1500,
131225,up,ok,1280,1920,1000,1500,
131358,up,ok,1492,2238,1000,1500,
131582,up,ok,1000,1500,1000,1500,
131673,up,ok,1350,2000,1000,1500,
131689,orig,ok,1480,2220,1000,1500,
131881,orig,ok,1430,2145,1000,1500,
131885,orig,ok,1000,1500,1000,1500,
131887,orig,ok,1000,1500,1000,1500,
131892,orig,ok,1000,1500,1000,1500,
131916,orig,ok,1083,1625,1000,1500,
131938,orig,ok,2000,3000,1000,1500,
131951,orig,ok,1000,1500,1000,1500,
131967,up,ok,1000,1500,1000,1500,
131974,orig,ok,1000,1500,1000,1500,
132035,up,ok,1400,2100,1000,1500,
132163,up,ok,1154,1708,1000,1500,
132247,orig,ok,1000,1500,1000,1500,
132250,orig,ok,1200,1697,1000,1500,
132269,up,ok,1920,2880,1000,1500,
132346,up,ok,1144,1716,1000,1500,
132361,up,ok,1706,2560,1000,1500,
132369,up,ok,1834,2698,1000,1500,
132626,orig,ok,2000,3000,1000,1500,
132729,orig,ok,2000,3000,1000,1500,
132802,orig,ok,1236,1854,1000,1500,
132843,up,ok,1400,2100,1000,1500,
132916,orig,ok,1164,1746,1000,1500,
133137,orig,ok,1000,1500,1000,1500,
133143,up,ok,1000,1500,1000,1500,
133196,up,ok,1130,1696,1000,1500,
133339,up,ok,1194,1792,1000,1500,
133360,orig,ok,1000,1500,1000,1500,
133535,up,ok,1920,2880,1000,1500,
133718,orig,ok,2000,3000,1000,1500,
133831,orig,ok,2000,3000,1000,1500,
133838,orig,ok,1500,2250,1000,1500,
133907,up,ok,1200,1818,1000,1500,
133953,orig,ok,1566,2231,1000,1500,
133959,orig,ok,1000,1501,1000,1500,
134136,up,ok,1920,2880,1000,1500,
134394,orig,ok,1000,1500,1000,1500,
134503,up,ok,1000,1500,1000,1500,
134521,orig,ok,1000,1500,1000,1500,
134572,up,ok,1000,1500,1000,1500,
134628,orig,ok,1021,1516,1000,1500,
134756,up,ok,1380,2000,1000,1500,
134885,up,ok,1240,1860,1000,1500,
134890,orig,ok,2000,3000,1000,1500,
135060,orig,ok,1000,1500,1000,1500,
135064,orig,ok,2000,3000,1000,1500,
135197,orig,ok,1352,2028,1000,1500,
135208,up,ok,1400,1986,1000,1500,
135251,up,ok,1360,2000,1000,1500,
135252,up,ok,1000,1500,1000,1500,
