hamming,id_a,title_a,id_b,title_b
2,227369,Horror Filmed,105543,Hollywood Mortuary
2,227369,Horror Filmed,805429,The Missing
2,227369,Horror Filmed,1219267,White Gardenia: The King James Bible
2,227369,Horror Filmed,1247436,The Uninvited
2,227369,Horror Filmed,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,227369,Horror Filmed,1313842,Jason Part III: The Veiling
2,227369,Horror Filmed,1425891,id 1425891
2,241927,Hellions,36601,Grindstone Road
2,241927,Hellions,102390,Devil's Bridge
2,241927,Hellions,750732,The Haunting of Grady Farm
2,241927,Hellions,1339166,Shaman
2,244638,Brain Fix,104811,id 104811
2,244638,Brain Fix,105543,Hollywood Mortuary
2,244638,Brain Fix,805429,The Missing
2,244638,Brain Fix,1219267,White Gardenia: The King James Bible
2,244638,Brain Fix,1247436,The Uninvited
2,244638,Brain Fix,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,244638,Brain Fix,1313842,Jason Part III: The Veiling
2,244638,Brain Fix,1425891,id 1425891
2,246233,Banned! In America V: The Final Chapter,95099,Pathogen
2,246233,Banned! In America V: The Final Chapter,264880,Gorgon Video Magazine Vol. 2
2,271651,Stricken,411143,Tau
2,280002,The Remaining,15667,The Last Winter
2,280002,The Remaining,20842,Children Shouldn't Play with Dead Things
2,280002,The Remaining,30778,I Am Omega
2,280002,The Remaining,43593,Piranha 3D
2,280002,The Remaining,71668,Piranha 3DD
2,280002,The Remaining,136074,Little Monsters
2,280002,The Remaining,463364,The Isle
2,280002,The Remaining,485811,Redcon-1
2,280002,The Remaining,672582,The Deep House
2,280002,The Remaining,709514,Cybernetic Showdown
2,280002,The Remaining,1318933,Chain Reactions
2,280002,The Remaining,1497961,William Shakespeare's Titus Andronicus
2,293553,Bloody Knuckles,102283,Full Circle
2,293862,Night Terrors,948495,Reunion from Hell 2
2,294629,Midnight Matinee Psycho,637156,Psycho Santa 2
2,305028,Bad Kitties,780609,Men
2,309793,Get Dead,121399,A Chronicle of Corpses
2,311010,Satan Claus,104811,id 104811
2,311010,Satan Claus,105543,Hollywood Mortuary
2,311010,Satan Claus,745986,Sharkmania: The Top 15 Biggest Baddest Bloodiest Bites
2,311010,Satan Claus,777573,The Las Vegas Strangler
2,311010,Satan Claus,805429,The Missing
2,311010,Satan Claus,1219267,White Gardenia: The King James Bible
2,311010,Satan Claus,1247436,The Uninvited
2,311010,Satan Claus,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,311010,Satan Claus,1313842,Jason Part III: The Veiling
2,311010,Satan Claus,1425891,id 1425891
2,315400,The Heaping Bouncy Breasts That Smothered a Midget,507700,Uncle David 2
2,315400,The Heaping Bouncy Breasts That Smothered a Midget,767615,Encounters
2,315400,The Heaping Bouncy Breasts That Smothered a Midget,1494294,Trail of the Werewolf
2,315400,The Heaping Bouncy Breasts That Smothered a Midget,1648434,The Final Hour
2,324234,You Better Watch Out!,43931,My Soul to Take
2,325157,Haunters,398096,Freshwater
2,325157,Haunters,446101,Assassination Nation
2,325157,Haunters,758298,The Crumbs
2,325157,Haunters,1011207,Evil Lurks
2,326247,The House on Pine Street,740049,Enys Men
2,326247,The House on Pine Street,1330421,Bone Lake
2,329205,Ghoul,1088080,Older Gods
2,331164,Frankenstein's Hungry Dead,334536,The Blackcoat's Daughter
2,332312,Helen Keller vs. Nightwolves,11252,Psycho
2,334536,The Blackcoat's Daughter,484437,The Hole in the Ground
2,335033,She Waits,446101,Assassination Nation
2,337342,Prom Ride,309793,Get Dead
2,337342,Prom Ride,498475,The Sadness
2,337342,Prom Ride,1234882,Drag Hell: Zombies Meat Lovers
2,337342,Prom Ride,1346487,Paranormal Activity: The Mark of the Coven
2,340165,Unwanted Presence,54582,Wilderness Survival for Girls
2,343490,Tales of the Dead,334536,The Blackcoat's Daughter
2,343490,Tales of the Dead,484437,The Hole in the Ground
2,347855,Curtain,27244,The Dungeonmaster
2,347855,Curtain,55538,Bloody Birthday
2,348264,Doll Syndrome,41967,Tales from the Gimli Hospital
2,353654,Scary Tales: Night Elevator,89369,Ashes
2,364424,The Innocent,866376,Spoken
2,364465,P=ωρ The Dark Energy,1058936,2551.02 – The Orgy of the Damned
2,364465,P=ωρ The Dark Energy,1110775,Behold!
2,372582,The Sleeping Soul,13429,Donkey Punch
2,372582,The Sleeping Soul,378470,Endor
2,372582,The Sleeping Soul,854867,Werewolf Castle
2,372582,The Sleeping Soul,1127375,The Notorious Finster
2,376598,Fangs,474764,The Lodge
2,377165,Expressway to Your Skull,201085,Crimson Peak
2,378470,Endor,13429,Donkey Punch
2,378470,Endor,467239,Temple
2,378470,Endor,844380,Nix
2,378470,Endor,1127375,The Notorious Finster
2,378470,Endor,1656845,Women's Playground
2,383648,Spook,15667,The Last Winter
2,383648,Spook,20842,Children Shouldn't Play with Dead Things
2,383648,Spook,30778,I Am Omega
2,383648,Spook,43593,Piranha 3D
2,383648,Spook,71668,Piranha 3DD
2,383648,Spook,136074,Little Monsters
2,383648,Spook,463364,The Isle
2,383648,Spook,485811,Redcon-1
2,383648,Spook,672582,The Deep House
2,383648,Spook,709514,Cybernetic Showdown
2,383648,Spook,1318933,Chain Reactions
2,383648,Spook,1497961,William Shakespeare's Titus Andronicus
2,384452,Cruel Summer,132250,Hypothermia
2,392702,Final Footage,144839,Evil Stalks This House
2,392702,Final Footage,488101,The Colour of Blood
2,392702,Final Footage,503769,Spell of Evil
2,392702,Final Footage,517072,Fat Tuesday
2,392702,Final Footage,578631,Water
2,398096,Freshwater,446101,Assassination Nation
2,401272,Ruin Me,14223,Wind Chill
2,406111,Bloodlands,54398,Strigoi
2,408083,The Face of Darkness,1036239,Baby Oopsie 3: Burn Baby Burn
2,413985,Water,507700,Uncle David 2
2,413985,Water,767615,Encounters
2,413985,Water,1494294,Trail of the Werewolf
2,413985,Water,1648434,The Final Hour
2,414204,Jack 'O' Slasher,279967,Dead Within
2,415586,Destination Nightmare,10065,The Amityville Horror
2,416281,The Alien Within,54612,Sutures
2,420101,Scary Tales: Last Stop,68028,Thralls
2,422618,Sacrificial Youth,27779,Dr. Jekyll & Mistress Hyde
2,422618,Sacrificial Youth,445874,My Uncle John Is a Zombie!
2,422943,Death Beach,392702,Final Footage
2,422943,Death Beach,1557115,Home Videos
2,425829,Project,947884,Wedding 93
2,443364,Heads or Tails,9362,Tremors
2,443364,Heads or Tails,784800,The Devil in the Room
2,446101,Assassination Nation,332567,The Shallows
2,446428,Valley of Ditches,821489,All My Friends Hate Me
2,454865,The Portal,411143,Tau
2,463364,The Isle,20842,Children Shouldn't Play with Dead Things
2,463364,The Isle,30778,I Am Omega
2,463364,The Isle,71668,Piranha 3DD
2,463364,The Isle,672582,The Deep House
2,464748,Boots on the Ground,614199,Spiral
2,485811,Redcon-1,20842,Children Shouldn't Play with Dead Things
2,485811,Redcon-1,30778,I Am Omega
2,485811,Redcon-1,71668,Piranha 3DD
2,485811,Redcon-1,672582,The Deep House
2,488032,The Black Box Murders,847163,A Quiet Dinner with Friends
2,488043,The Book of Murder,68028,Thralls
2,488043,The Book of Murder,705863,The Caretaker
2,488134,id 488134,981696,The Haunted Bedroom
2,488134,id 488134,1460572,"Blessed: Live, Laugh,Run!"
2,489186,Frightened To Death,227369,Horror Filmed
2,489186,Frightened To Death,244638,Brain Fix
2,489186,Frightened To Death,718292,The Bankrupt
2,489186,Frightened To Death,758511,Screambook
2,489186,Frightened To Death,840819,Staycation
2,489186,Frightened To Death,970806,In the Dead of Night
2,489186,Frightened To Death,1038460,DVD 2
2,489186,Frightened To Death,1077433,Wendigo
2,489186,Frightened To Death,1276472,The Strange Case of Dr. Jekyll and Mr. Hyde
2,489186,Frightened To Death,1328717,The Unknown
2,489456,Preylien: Alien Predators,423269,Halloween Spookies
2,492332,The Lurking,1044433,Gap Year 2018.mov
2,498264,Steps From Hell,41402,Let Me In
2,503650,Deadly Visitor,488495,The Haunting of Penthouse D
2,503769,Spell of Evil,55538,Bloody Birthday
2,503769,Spell of Evil,144839,Evil Stalks This House
2,503769,Spell of Evil,347855,Curtain
2,503769,Spell of Evil,454865,The Portal
2,503769,Spell of Evil,517072,Fat Tuesday
2,503769,Spell of Evil,1569349,Last Month's Rent
2,506048,Deadtime Tales,10706,Mimic 2
2,509752,Cruising Purgatory,614199,Spiral
2,509752,Cruising Purgatory,853682,Reunion Massacre
2,509752,Cruising Purgatory,1677725,The Black Diamond Files: As Night Swallows Day
2,514440,Nurse Will Make It Better,663410,Sunburn
2,514440,Nurse Will Make It Better,699019,Hell Hole
2,514440,Nurse Will Make It Better,879689,Raging Grace
2,517072,Fat Tuesday,144839,Evil Stalks This House
2,517072,Fat Tuesday,347855,Curtain
2,524296,"Strike, Dear Mistress, and Cure His Heart",98128,Nightmare Honeymoon
