id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
210587,Yellow,Yellow,2013,210587.jpg,0.0,0.0976,cH0uNpmMUdg9Nu8J4qFRtsTSdFc,posters_multi/210587/cH0uNpmMUdg9Nu8J4qFRtsTSdFc.jpg,0.0,0.1493,0.0,0.0517,2,0,no
210734,Battlefield Death Tales,Battlefield Death Tales,2012,210734.jpg,0.0,0.3636,z453yQUIEXI5mG695ZfeEMkDZnx,posters_multi/210734/z453yQUIEXI5mG695ZfeEMkDZnx.jpg,0.0,0.3636,0.0,0.0,1,0,no
214680,Convergence,Convergence,2000,214680.jpg,0.0,0.1616,b15UobERIODyWwjuIGVRKLBLBkO,posters_multi/214680/b15UobERIODyWwjuIGVRKLBLBkO.jpg,0.0,0.1649,0.0,0.0033,1,0,no
215280,Billy Badd,Billy Badd,1992,215280.jpg,0.0,0.0,zJwP5epnNOuna569g2fI9QZeeJ1,posters_multi/215280/zJwP5epnNOuna569g2fI9QZeeJ1.jpg,0.0,0.0,0.0,0.0,1,0,no
216139,Burned at the Stake,Burned at the Stake,1981,216139.jpg,0.25,0.0127,qmMaHJxlcOG7ZByHbO3DPR2KUVD,posters_multi/216139/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,0.5,0.0126,0.25,-0.0001,5,1,overlap_gain
217903,El virus del poder,El virus del poder,1988,217903.jpg,0.25,0.1118,wnx0OxIJiWfChDJ2GuGsKqk4RWS,posters_multi/217903/wnx0OxIJiWfChDJ2GuGsKqk4RWS.jpg,1.0,0.25,0.75,0.1382,1,1,overlap_gain
219961,Sonata,Sonata,,219961.jpg,0.0,0.1633,A1C6UkDJudXNeTRjB33J9iJASQg,posters_multi/219961/A1C6UkDJudXNeTRjB33J9iJASQg.jpg,0.0,0.1633,0.0,0.0,1,0,no
223281,The Unspeakable,The Unspeakable,1996,223281.jpg,0.0,0.1379,k3QdOgPjhJsjbd4xjM96gGzPcxr,posters_multi/223281/k3QdOgPjhJsjbd4xjM96gGzPcxr.jpg,1.0,1.0,1.0,0.8621,2,1,overlap_gain
223344,Maxie,Maxie,1973,223344.jpg,0.0,0.0476,b8oVCFTxDwF2m5CQwgqzdpppkIp,posters_multi/223344/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg,0.0,0.0473,0.0,-0.0003,1,0,no
226023,The Men Who Fell,The Men Who Fell,2007,226023.jpg,0.0,0.1616,qUnmfvrrmn1BFcc7KkXyzwwRrHi,posters_multi/226023/qUnmfvrrmn1BFcc7KkXyzwwRrHi.jpg,0.0,0.124,0.0,-0.0376,1,0,no
227433,Hong-Do Mirror,홍도경,1985,227433.jpg,0.0,0.375,tFyHHxAMmwA76jTb9YRQoocFRmw,posters_multi/227433/tFyHHxAMmwA76jTb9YRQoocFRmw.jpg,0.0,0.375,0.0,0.0,2,0,no
244305,The Ice House,The Ice House,1969,244305.jpg,0.3333,0.1205,x0SzhzlHaOL0oJXo0NkXjPpF9aN,posters_multi/244305/x0SzhzlHaOL0oJXo0NkXjPpF9aN.jpg,1.0,0.1078,0.6667,-0.0127,2,1,overlap_gain
250172,Martyris,Martyris,2010,250172.jpg,0.0,0.0036,xBJo7IqWXlStHudpHTFXlSsZG5s,posters_multi/250172/xBJo7IqWXlStHudpHTFXlSsZG5s.jpg,0.0,0.0753,0.0,0.0717,1,0,no
250788,Savage Encounter,Savage Encounter,1980,250788.jpg,0.0,0.3,4Y2Kmg6NLLy4KX9egc5D4Zb2O5I,posters_multi/250788/4Y2Kmg6NLLy4KX9egc5D4Zb2O5I.jpg,1.0,0.2542,1.0,-0.0458,2,1,overlap_gain
251526,The Mutagen,The Mutagen,1988,251526.jpg,0.0,0.1538,ezpSbTs0epele0tkVKSRkhS7mco,posters_multi/251526/ezpSbTs0epele0tkVKSRkhS7mco.jpg,0.0,0.1918,0.0,0.038,1,0,no
254701,The Mask of Love,The Mask of Love,2012,254701.jpg,0.0,0.2069,laWI93XRbbI2qEnAFPETLUkNwD5,posters_multi/254701/laWI93XRbbI2qEnAFPETLUkNwD5.jpg,0.25,0.1463,0.25,-0.0606,1,0,no
257275,The Night Comes Too Soon,The Night Comes Too Soon,1946,257275.jpg,0.2,0.5854,5cbhJNkBnonH6qJQgMDyc2qf0Eb,posters_multi/257275/5cbhJNkBnonH6qJQgMDyc2qf0Eb.jpg,0.2,0.5854,0.0,0.0,3,0,no
258726,The Game,Il gioko,1989,258726.jpg,0.0,0.2778,e0p03Vy5V76xkFUCGnTTCzRm3Dy,posters_multi/258726/e0p03Vy5V76xkFUCGnTTCzRm3Dy.jpg,0.0,0.3158,0.0,0.038,3,0,no
259828,Bloodless,Bloodless,2014,259828.jpg,0.0,0.1132,474HmunD3keIwtapMuRdTKB2pPF,posters_multi/259828/474HmunD3keIwtapMuRdTKB2pPF.jpg,0.0,0.08,0.0,-0.0332,1,0,no
260824,Under Surveillance,Under Surveillance,2006,260824.jpg,0.0,0.129,kdgMFG1sY3oXPDoYelHCgKa8qqP,posters_multi/260824/kdgMFG1sY3oXPDoYelHCgKa8qqP.jpg,0.0,0.129,0.0,0.0,1,0,no
262919,Catacombs,Catacombs,1964,262919.jpg,0.0,0.1159,gqbuXMErRMrmRc55m35Y10WCmtZ,posters_multi/262919/gqbuXMErRMrmRc55m35Y10WCmtZ.jpg,0.0,0.2,0.0,0.0841,4,0,no
265321,A Shred Of Mist,A Shred Of Mist,,265321.jpg,0.0,0.098,1cy71eeNjdhbTZSVkOa24fsAHyQ,posters_multi/265321/1cy71eeNjdhbTZSVkOa24fsAHyQ.jpg,0.3333,0.0072,0.3333,-0.0908,1,0,no
272100,Supernatural,Sobrenatural,1982,272100.jpg,0.0,0.3529,53KU5vgHQtjh5xwFqbRmDUVZYqj,posters_multi/272100/53KU5vgHQtjh5xwFqbRmDUVZYqj.jpg,1.0,1.0,1.0,0.6471,5,1,overlap_gain
273418,Killer Dead,Killer Dead,1992,273418.jpg,0.0,0.1429,mYuEWRvrxGKHGPzdxXY00rGRJHC,posters_multi/273418/mYuEWRvrxGKHGPzdxXY00rGRJHC.jpg,0.0,0.1429,0.0,0.0,1,0,no
275203,Locked in a Room,Locked in a Room,2012,275203.jpg,0.0,0.1395,qCVl8zow8BuYhPrIeXExTnGE7pm,posters_multi/275203/qCVl8zow8BuYhPrIeXExTnGE7pm.jpg,1.0,0.7692,1.0,0.6297,2,1,overlap_gain
276692,Natural Selection,Natural Selection,1994,276692.jpg,0.0,0.1988,kmK64pGj3qJov5PHzA5wlcy1KNG,posters_multi/276692/kmK64pGj3qJov5PHzA5wlcy1KNG.jpg,0.0,0.1916,0.0,-0.0072,1,0,no
277506,Invicta,Invicta,2009,277506.jpg,0.0,0.1111,kaGpoLrYh8EOVu16zJA7iiwXSPw,posters_multi/277506/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg,0.0,0.1111,0.0,0.0,1,0,no
280928,A Chilling Cosplay,制服,2013,280928.jpg,0.0,0.1379,o9ROr30gNeL8dRWZSMwyvR9SWw7,posters_multi/280928/o9ROr30gNeL8dRWZSMwyvR9SWw7.jpg,0.0,0.0719,0.0,-0.066,1,0,no
286681,Vayanadan Thampan,വയനാടൻ തമ്പാൻ,1978,286681.jpg,0.0,0.1376,342UTLrU2GF2gCkDGfBKbj5R6Hn,posters_multi/286681/342UTLrU2GF2gCkDGfBKbj5R6Hn.jpg,0.0,0.12,0.0,-0.0176,1,0,no
289476,Kill Me Tomorrow,Kill Me Tomorrow,2005,289476.jpg,0.0,0.1667,dnLLx5mJ536VEH6YgnFUNAlyJiP,posters_multi/289476/dnLLx5mJ536VEH6YgnFUNAlyJiP.jpg,0.0,0.1667,0.0,0.0,1,0,no
