id,title,year,vote_count,imdb_id,reason
173897,Resident Evil: The Final Chapter,2016,2642,tt2592614,tmdb_vote_count_gt_100
263472,Knock Knock,2015,2621,tt3605418,tmdb_vote_count_gt_100
511987,Crawl,2019,2608,tt8364368,tmdb_vote_count_gt_100
531309,Brightburn,2019,2566,tt7752126,tmdb_vote_count_gt_100
22804,Saw VI,2009,2559,tt1233227,tmdb_vote_count_gt_100
443791,Underwater,2020,2537,tt5774060,tmdb_vote_count_gt_100
157547,Oculus,2013,2536,tt2388715,tmdb_vote_count_gt_100
30497,The Texas Chain Saw Massacre,1974,2525,tt0072271,tmdb_vote_count_gt_100
968051,The Nun II,2023,2513,tt10160976,tmdb_vote_count_gt_100
10066,House of Wax,2005,2505,tt0397065,tmdb_vote_count_gt_100
1970,The Grudge,2004,2486,tt0391198,tmdb_vote_count_gt_100
514847,The Hunt,2020,2477,tt8244784,tmdb_vote_count_gt_100
44040,Devil,2010,2466,tt1314655,tmdb_vote_count_gt_100
9792,The Hills Have Eyes,2006,2447,tt0454841,tmdb_vote_count_gt_100
1084199,Companion,2025,2431,tt26584495,tmdb_vote_count_gt_100
41439,Saw 3D,2010,2425,tt1477076,tmdb_vote_count_gt_100
622,The Ninth Gate,1999,2421,tt0142688,tmdb_vote_count_gt_100
609,Poltergeist,1982,2416,tt0084516,tmdb_vote_count_gt_100
951491,Saw X,2023,2413,tt21807222,tmdb_vote_count_gt_100
403119,47 Meters Down,2017,2406,tt2932536,tmdb_vote_count_gt_100
438799,Overlord,2018,2406,tt4530422,tmdb_vote_count_gt_100
433808,The Ritual,2017,2397,tt5638642,tmdb_vote_count_gt_100
8922,Jeepers Creepers,2001,2395,tt0263488,tmdb_vote_count_gt_100
242512,Ouija,2014,2393,tt1204977,tmdb_vote_count_gt_100
60935,The Thing,2011,2390,tt0905372,tmdb_vote_count_gt_100
768,From Hell,2001,2380,tt0120681,tmdb_vote_count_gt_100
10585,Child's Play,1988,2335,tt0094862,tmdb_vote_count_gt_100
440,Aliens vs Predator: Requiem,2007,2334,tt0758730,tmdb_vote_count_gt_100
