id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type,reason
32021,The Night Strangler,1973,tt0069002,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
32219,Blade: House of Chthon,2006,tt0491714,"Action, Horror, TV Movie",tvEpisode,1,1,tv_horror_tmdb_or_imdb
33326,Phantom Racer,2009,tt1320354,"Action, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
33543,Satan's School for Girls,1973,tt0070633,"Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
33589,Fool's Fire,,tt0210047,,tvMovie,0,1,tv_horror_tmdb_or_imdb
33826,Death Row,2006,tt0790806,"Crime, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
34072,A Haunting In Connecticut,2002,tt0439602,"Documentary, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
34734,Stir of Echoes: The Homecoming,2007,tt0805619,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
35040,Croc,2007,tt1127177,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
35074,Dinoshark,2010,tt1545986,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
35429,The Hive,2008,tt1062161,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
35608,Intensity,1997,tt0118350,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
35801,Dr. Jekyll and Mr. Hyde,2008,tt1159984,"Drama, Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
35891,Mansquito,2005,tt0430334,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
35946,The Hollow,2004,tt0367854,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
35978,Pumpkinhead: Ashes to Ashes,2010,tt0780593,"Fantasy, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
35979,Pumpkinhead: Blood Feud,2007,tt0790816,"Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
36139,High Plains Invaders,2009,tt1388432,"Horror, Science Fiction, TV Movie, Western",tvMovie,1,1,tv_horror_tmdb_or_imdb
36560,Golden Years,1991,tt0101206,"Horror, Science Fiction, Thriller, TV Movie",tvSeries,1,1,tv_horror_tmdb_or_imdb
36622,Caved In: Prehistoric Terror,2006,tt0468461,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
36737,Carny,2009,tt1397497,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
37017,Deadly Invasion: The Killer Bee Nightmare,1995,tt0112826,"Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
37035,Swarmed,2005,tt0437498,"Action, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
37254,Mermaid Chronicles Part 1: She Creature,2001,tt0274659,"Fantasy, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
37306,Voodoo Moon,2006,tt0462598,"Drama, Fantasy, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
37376,The Cube,,tt0291118,,tvEpisode,0,1,tv_horror_tmdb_or_imdb
37434,Devil's Diary,2007,tt1018820,"Drama, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
37440,Monster Ark,2008,tt1101038,"Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
37644,All the Kind Strangers,1974,tt0071120,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
37865,Buried Alive,1990,tt0099188,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
37938,Stranger in Our House,1979,tt0078330,"Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
38330,The Perfect Neighbor,2005,tt0430457,"Drama, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
38510,How to Make a Monster,2001,tt0281919,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
38783,Trilogy of Terror,1975,tt0073820,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
39368,Flu Bird Horror,2008,tt1282045,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
39704,KISS Meets the Phantom of the Park,,tt0077788,,tvMovie,0,1,tv_horror_tmdb_or_imdb
39824,The Sitter,2007,tt0961088,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
39999,Daughter of Darkness,1990,tt0099368,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
40217,Terminal Invasion,2002,tt0322008,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
40249,They Nest,2000,tt0221633,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
40377,Psycho IV: The Beginning,1990,tt0102724,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
40631,Dracula,2006,tt0847161,"Drama, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
41025,Gargoyles,1972,tt0068622,"Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
41032,The Stone Tape,1972,tt0069316,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
