id,imdb_id,title,year,tmdb_genres,imdb_genres,titleType,reason
407628,tt5773112,Dam Sharks!,2016,"Action, Horror, Science Fiction","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
407739,tt5831924,Spring Break Zombie Massacre,2016,"Adventure, Drama, Fantasy, Horror, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
412406,tt3020786,Death Walks,2016,Horror,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
415633,tt5161376,Tonight She Comes,2018,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
416119,tt2932532,Blood Trap,2016,"Action, Crime, Horror, Thriller","Comedy, Crime, Horror",movie,imdb_Comedy_not_tmdb_Comedy
416482,tt1887669,Astro Zombies: M4 - Invaders from Cyberspace,2012,"Horror, Science Fiction","Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
417265,tt1661843,Hotel Hollywood,2010,Horror,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
419327,tt4308714,Other Halves,2016,"Horror, Science Fiction","Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
420074,tt37741497,Shark Terror,2025,"Horror, Action","Comedy, Drama, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
422514,tt4933506,Killjoy's Psycho Circus,2016,Horror,"Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
423269,tt5214966,Halloween Spookies,2016,Horror,"Comedy, Family, Horror",movie,imdb_Comedy_not_tmdb_Comedy
423536,tt4705740,Ghosts of Darkness,2017,Horror,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
424647,tt6144120,Paranormal Sexperiments,2016,"Horror, Romance","Comedy, Horror",tvMovie,imdb_Comedy_not_tmdb_Comedy
426075,tt2812868,"Sex, Chocolate & Zombie Republicans",,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
429051,tt0284805,4 Cheerleaders of the Apocalypse,1997,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
431392,tt5156910,Ouija 3: The Charlie Charlie Challenge,2016,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
432063,tt5923752,Pool Party Massacre,2017,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
433628,tt0197776,Potential Sins,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
433629,tt1440747,Killer Tumbleweeds,,,"Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
434520,tt5361326,The Ninth Passenger,2018,Horror,"Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
436945,tt1908452,Addicted to Blood,2011,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
438970,tt6298780,Sharknado 5: Global Swarming,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
440317,tt5532370,Freehold,,,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
445643,tt1277731,Reptisaurus,2009,"Horror, Science Fiction","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
445732,tt5936582,Johnny Gruesome,2018,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
445911,tt1691879,The Chainsaw Sally Show,2010,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
449478,tt4756770,Witchcraft XIV: Angel of Death,2017,"Horror, Mystery","Adventure, Comedy, Drama",movie,imdb_Comedy_not_tmdb_Comedy
449897,tt0385906,Next Victim,2003,Horror,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
450545,tt6328004,Secret Santa,2018,"Horror, Mystery, Thriller","Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
453659,tt0316551,Scary Tales: The Return of Mr. Longfellow,2003,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
458339,tt4905574,Haunted Inc.,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
458381,tt2250026,Female Zombie Riot,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
459170,tt5303106,The Jurassic Dead,2017,"Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
460218,tt6719524,5 Headed Shark Attack,2017,"Horror, Science Fiction","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
461108,tt6973866,Toxic Shark,2017,"Horror, Science Fiction","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
461963,tt6492158,Land Shark,2017,"Horror, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
462310,tt5821150,The Wanderers: The Quest of The Demon Hunter,2018,"Action, Adventure, Fantasy, Horror","Comedy, Drama, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
463821,tt2119543,The House with a Clock in Its Walls,,,"Comedy, Family, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
464329,tt7073518,7 from Etheria,2017,Horror,"Action, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
464776,tt0310643,And Then They Were Dead...,,,"Comedy, Horror, Mystery",video,imdb_Comedy_not_tmdb_Comedy
466316,tt0462238,Creepies 2: Las Vegas Attack,2005,"Horror, Science Fiction","Action, Adventure, Comedy",video,imdb_Comedy_not_tmdb_Comedy
466473,tt4375062,The Painting,,,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
466587,tt6817296,Bigfoot Horror Camp,,,"Comedy, Horror",tvMovie,imdb_Comedy_not_tmdb_Comedy
466609,tt0478814,Limp Fangs: The Adventures of Count Malt Liquela,1996,Horror,Comedy,video,imdb_Comedy_not_tmdb_Comedy
466929,tt0297175,House of Horror,1929,,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
467306,tt6723494,Playing with Dolls: Havoc,2017,"Horror, Thriller","Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
467377,tt4424292,Crazy Lake,2017,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
467462,tt6982720,Trailer Park Shark,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
470614,tt8403680,Tales from the Hood 2,2018,Horror,"Comedy, Crime, Drama",video,imdb_Comedy_not_tmdb_Comedy
471363,tt0389948,Dracula in Vegas,1999,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
471618,tt3567168,A Twisted Tale,,,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
475369,tt5810368,Deadly Detention,2017,Horror,"Comedy, Drama, Horror",movie,imdb_Comedy_not_tmdb_Comedy
