id,title,year,file_path,iso_639_1,vote_average,vote_count,width,height,is_primary
477576,DeadThirsty,2017,/5IvHHunMpvMCLhtUB2nrB6XuVru.jpg,en,0.0,0,500,750,0
827144,The Corruption of Divine Providence,2020,/u0pPj7tSpfISawJCCWrwpob5IWj.jpg,en,3.334,2,2000,3000,1
827144,The Corruption of Divine Providence,2020,/12HnoZek9DWAawyk1rco8Byx2SV.jpg,en,2.278,3,1175,1763,0
827144,The Corruption of Divine Providence,2020,/9JW09WzZUyD6Xy15pBWbumDhWST.jpg,en,1.222,3,1280,1920,0
827144,The Corruption of Divine Providence,2020,/sg46YE6p8Acr8kPv66cR9Tu2eNX.jpg,en,0.166,1,2000,3000,0
827144,The Corruption of Divine Providence,2020,/e7zU0GGyxDI1aJC5zB0lrPTgwwk.jpg,en,0.166,1,1067,1600,0
827144,The Corruption of Divine Providence,2020,/iGSYRO8h0t5IgEt2uzEidwXjBUa.jpg,en,0.166,1,750,1049,0
36965,Infection,2005,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,en,1.75,2,1000,1500,1
36965,Infection,2005,/6iX2M7APQTXtptwkZ193QOsYfaX.jpg,en,0.166,2,960,1440,0
36965,Infection,2005,/zLoAaUcg07sWFK1e4qtgGvqvHr3.jpg,en,0.0,0,1000,1500,0
36965,Infection,2005,/vC8BHTBVpCTDfkraxxydRnZvH1X.jpg,en,0.0,0,960,1440,0
412471,Dark Silence,2016,/pBP8eWb66SGbWtDMAMYghrqrJId.jpg,en,1.75,2,1400,2100,1
412471,Dark Silence,2016,/pfDZnf75RG3iH61u5lxVZtjlx1T.jpg,en,0.166,1,667,1000,0
412471,Dark Silence,2016,/srXOT7xG2iNczYUUcgVU5F106p1.jpg,en,0.166,1,600,900,0
412471,Dark Silence,2016,/pnZDyaoo9OSm2tAHMqf03z9YNWz.jpg,en,0.0,0,1500,2250,0
56383,"Lisa, Lisa",1974,/fj2PR0EnAakr9F0VhUe2uwESmII.jpg,en,7.19,7,1000,1500,1
56383,"Lisa, Lisa",1974,/2eXHfCuzBlUvceOQHD8gXzWW7XZ.jpg,en,5.786,7,960,1440,0
56383,"Lisa, Lisa",1974,/cajXHMaotEMAKLz8HpRsPXx8yCr.jpg,en,5.25,8,600,900,0
56383,"Lisa, Lisa",1974,/1j7yOD5A6rvBthWHgwwZNniS8AW.jpg,en,3.334,1,1000,1500,0
56383,"Lisa, Lisa",1974,/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,en,1.75,6,851,1296,0
56383,"Lisa, Lisa",1974,/R52VjXg4xHmWPNMKSwpFXQhteC.jpg,en,0.166,1,1228,1843,0
56383,"Lisa, Lisa",1974,/jn33QcjA6yMvdaT1ZXBQbIRGtlU.jpg,en,0.0,0,1053,1580,0
56383,"Lisa, Lisa",1974,/nIIeRi8R2OHtCOvDSdRDNOOBIT6.jpg,en,0.0,0,1000,1500,0
56383,"Lisa, Lisa",1974,/lHfanbk9fkbhO3mnj5ysi2TLUfm.jpg,en,0.0,0,639,935,0
56383,"Lisa, Lisa",1974,/cZiA9v6t5TYHYCbjp5tR90ekeF.jpg,en,0.0,0,500,750,0
51176,Hellborn,2003,/j67a01b7pSRKD5JMDBzqUYaOLj2.jpg,en,3.334,2,1000,1500,0
51176,Hellborn,2003,/u5VdDoyXLuMSA193Jalh03FfrD3.jpg,en,3.334,1,1280,1854,1
51176,Hellborn,2003,/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,en,1.75,2,1000,1500,0
51176,Hellborn,2003,/qYWqTmqWEBdIsGFcWU2k73Rj0MX.jpg,,0.0,0,1000,1333,0
421490,Tall Men,2016,/cnDsdEtR1rGJBMrAuQbzBbzWkqC.jpg,en,3.334,2,667,1000,0
421490,Tall Men,2016,/7UIPssW5B21uBAtQ2mojAJpm7oJ.jpg,en,3.334,1,1000,1500,1
421490,Tall Men,2016,/jqRzk8EOLpJgMSpWNNYHNGkYkX6.jpg,en,3.334,1,1000,1500,0
421490,Tall Men,2016,/u9xPST0Q0uLgNQ1jbZlOsEObDl6.jpg,en,0.166,2,726,1000,0
421490,Tall Men,2016,/mC7FhsDmkPvCyIBX2FHXDTBlS8R.jpg,en,0.0,0,1000,1500,0
486684,Aux,2018,/6jPaPjzgbSUwfkyJKV4SpzWMJWH.jpg,en,3.334,1,1200,1600,1
486684,Aux,2018,/ldLSD7hYtoW13HF59lTJtfFutKe.jpg,en,1.75,2,1200,1800,0
486684,Aux,2018,/x9Qx52jUJqECgLWblCvZYuVAE9v.jpg,en,1.75,2,1200,1800,0
486684,Aux,2018,/9iIPJLeV1zQwqJonbUbgKazyEhh.jpg,en,0.166,2,667,945,0
486684,Aux,2018,/iNpsmp2jgkOxTBUXlkr1vqEynzD.jpg,en,0.166,2,666,945,0
486684,Aux,2018,/9CIzIDZ4SaihFkzRCcWPCg6Dioj.jpg,en,0.166,1,1200,1800,0
486684,Aux,2018,/525Q3Ibkd4m23FEQ96rDXAtwuoe.jpg,,0.0,0,1000,1500,0
651448,Darkslide,2016,/oqAdz9Xz4yBtsLyNJL70PtXbEoF.jpg,en,3.334,1,1000,1500,0
