id,title,year,vote_count,imdb_id
1650027,First Moon,2025,0,tt26920256
3305,Frankenstein: A Cinematic Scrapbook,,0,tt0150633
28309,Jan-Gel 3: Hillbilly Monster,,0,tt0410125
28369,id 28369,,0,tt0475090
28581,Purple Glow,,0,tt0476479
28583,The Night They Returned,,0,tt0427596
28964,Dark Side of the Light,,0,tt0476982
29432,Killer Hoo-Ha!,,0,tt1564363
29708,Vampire Centerfolds,,0,tt0126713
29791,The Dark Gift,,0,tt1401114
30044,id 30044,,0,tt0308362
30407,Shadows in the City,,0,tt0180995
39372,Green Eyed Monster,,0,tt1156311
47111,The Death of Poe,,0,tt0430001
55071,The Man Who Sold The World,,0,tt0499522
62990,Lesbos Slaughter 2: Satan's Hostages,,0,tt32339839
64932,Blood Fare,,0,tt1730189
75327,id 75327,,0,tt5874614
99989,id 99989,,0,tt1745662
124049,Breakfast of Aliens,,0,tt0106478
125651,The Tentacle's Claw,,0,tt2247065
125987,Slaughter Tales,,0,tt2393965
128838,Santeria: The Soul Possessed,,0,tt0829278
129976,Sadismo,,0,tt0217778
135446,Plastic,,0,tt1691450
138298,id 138298,,0,tt2336213
147133,Bloodwine,,0,tt1212018
147458,The Magic Toyshop,,0,tt0097806
150588,Yule Die,,0,tt2149265
150765,Slaughter Claus,,0,tt2251489
152592,Distant Shadow,,0,tt0273539
155967,Binge & Purge,,0,tt0368603
161499,The Experiment: Who's Watching You?,,0,tt2188746
164628,Saturday Nightmares: The Ultimate Horror Expo of All Time!,,0,tt1737240
171283,id 171283,,0,tt1456940
196426,Blood Soaked,,0,tt2368639
213324,Containment,,0,tt0883361
213783,I Hate You,,0,tt0428655
213811,The Crate,,0,tt1134812
213903,Darkest Soul,,0,tt0363244
217345,The Locker,,0,tt1309183
222861,Terminal Virus,,0,tt0113607
227903,The Minstrel Killer,,0,tt1500510
233292,Love Foolery Case for a Severed Head,,0,tt0203721
238341,Old Mother Riley's Ghosts,,0,tt0033976
252848,id 252848,,0,tt1134998
254555,With Friends Like These...,,0,tt0390627
254643,Peeping Blog,,0,tt1453440
273560,Dark Tomorrow,,0,tt0328985
279755,Amhurst,,0,tt0903132
280599,id 280599,,0,tt1781889
281549,Bad Reception,,0,tt1334525
281973,The Dark Side of the Sun,,0,tt0395855
290697,Eat the Rich: The Cannibal Murders,,0,tt0432829
290708,Family Property: Backwoods Killing Spree,,0,tt1445641
291543,Paranoia,,0,tt0155944
293401,Road Hell,,0,tt1908551
294238,ARBOR DAZE,,0,tt0388732
303327,Darkling,,0,tt3604020
305154,Any Minute Now,,0,tt2229043
308131,id 308131,,0,tt0846696
