id,title,year,source,stem,file_path,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,latency_s,error
564090,The Hoard,2018,variant,74oViJnQ8vn2GVwGEaQpwjURgub,posters_multi/564090/74oViJnQ8vn2GVwGEaQpwjURgub.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Female:0.99|Woman:0.99|Hat:0.99|Glasses:0.97,Advertisement,1.0,0.0,0.0,0.9945,0.0,0.0,0.0,40,59.32,89.32,93.89,#ffebcd:23.8|#8b4513:17.9|#2f4f4f:15.8|#000000:14.0|#800000:9.4,0.729,
564090,The Hoard,2018,variant,81oJD7J9Q6Ay0nEsxszH01JJlvd,posters_multi/564090/81oJD7J9Q6Ay0nEsxszH01JJlvd.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Male:0.99|Man:0.99|Hat:0.99|Glasses:0.97,Advertisement,1.0,0.0,0.0,0.9914,0.0,0.0,0.0,41,56.28,86.22,90.66,#8b4513:22.1|#ffebcd:19.0|#2f4f4f:15.8|#000000:14.6|#800000:10.4,0.697,
564394,Crypto (Animated Short),2018,primary,564394.jpg,posters/564394.jpg,Advertisement:1.00|Poster:1.00|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Publication:0.97|Female:0.94|Woman:0.94|Book:0.94,Advertisement,0.9996,0.8451,0.0,0.9747,0.0,0.0,0.0,23,45.81,85.38,93.81,#2f4f4f:36.9|#000000:28.2|#afeeee:21.6|#808080:8.1|#a9a9a9:4.5,0.555,
564394,Crypto (Animated Short),2018,variant,lRdBbwJu6LY5FXP9RdvcNaYyvUU,posters_multi/564394/lRdBbwJu6LY5FXP9RdvcNaYyvUU.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Female:0.97|Woman:0.97|Publication:0.94|Firearm:0.90,Advertisement,0.9996,0.9038,0.0,0.986,0.0,0.0,0.0,23,45.81,85.48,93.85,#2f4f4f:37.1|#000000:28.4|#afeeee:21.7|#808080:7.9|#a9a9a9:4.4,0.466,
565335,The Wrong Side of Town,2018,variant,hDOk2XVHjS8v3jDE9rhHCOM6QhU,posters_multi/565335/hDOk2XVHjS8v3jDE9rhHCOM6QhU.jpg,Book:1.00|Publication:1.00|Novel:0.99|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Face:0.70|Head:0.70|Portrait:0.58,Book,1.0,0.0,0.0,0.9688,0.0,0.0,0.0,9,24.42,84.28,86.64,#000000:64.8|#2f4f4f:14.7|#ffdead:9.3|#a0522d:5.9|#808080:4.3,0.491,
565335,The Wrong Side of Town,2018,variant,hVTnoapvWq8Dv283B78MjNJVFaX,posters_multi/565335/hVTnoapvWq8Dv283B78MjNJVFaX.jpg,Advertisement:1.00|Poster:1.00|Adult:0.95|Male:0.95|Man:0.95|Person:0.95|Book:0.57|Publication:0.57|Novel:0.55|Batman:0.54,Advertisement,1.0,0.0,0.0,0.9458,0.0,0.0,0.0,4,49.81,85.78,83.67,#800000:48.5|#000000:24.5|#daa520:11.9|#cd853f:7.7|#8b4513:5.6,0.607,
565620,Catskill Park,2018,variant,9yholAWxuvKUlkg2rHS9s396n4u,posters_multi/565620/9yholAWxuvKUlkg2rHS9s396n4u.jpg,Female:0.99|Girl:0.99|Person:0.99|Teen:0.99|Advertisement:0.98|Book:0.95|Publication:0.95|Poster:0.91|Photography:0.78|Dancing:0.61,Female,0.9908,0.0,0.5314,0.9908,0.0,0.0,0.0,4,57.64,89.08,89.54,#4682b4:34.7|#000000:25.5|#2f4f4f:18.6|#ffffff:10.0|#b0c4de:8.7,0.517,
565620,Catskill Park,2018,variant,m8eWBGrY2mgdWogSDPLvJa49mbM,posters_multi/565620/m8eWBGrY2mgdWogSDPLvJa49mbM.jpg,Book:1.00|Publication:1.00|Alien:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Novel:0.74|Animal:0.57|Mammal:0.57,Book,1.0,0.0,0.5716,0.9913,0.0,0.0,0.5451,8,27.13,25.71,78.79,#000000:62.8|#2f4f4f:23.9|#696969:6.0|#a9a9a9:5.9|#dcdcdc:1.4,0.634,
565725,Necro-Mancing Dennis,2018,variant,cUEp9WXVqSO0BhmpLh0F2Q9eHwG,posters_multi/565725/cUEp9WXVqSO0BhmpLh0F2Q9eHwG.jpg,Person:1.00|Skin:1.00|Tattoo:1.00|Boy:0.87|Male:0.87|Teen:0.87|Publication:0.79|Photography:0.58|Portrait:0.58|Torso:0.58,Person,0.9982,0.0,0.0,0.9982,0.0,0.0,0.0,5,46.74,85.28,93.25,#000000:45.5|#bc8f8f:26.7|#ffb6c1:10.2|#2f4f4f:8.1|#dcdcdc:4.9,0.603,
565725,Necro-Mancing Dennis,2018,variant,x54WTCnaCJ0kM0435dh0jvGEnUN,posters_multi/565725/x54WTCnaCJ0kM0435dh0jvGEnUN.jpg,Person:1.00|Skin:1.00|Tattoo:1.00|Boy:0.96|Male:0.96|Teen:0.96|Face:0.91|Head:0.91|Publication:0.85|Book:0.58,Person,0.9995,0.0,0.0,0.9995,0.0,0.0,0.0,5,50.34,84.21,91.63,#000000:41.4|#bc8f8f:19.3|#2f4f4f:13.3|#ffb6c1:11.9|#a0522d:9.1,0.849,
566011,Curse of the Blind Dead,2019,variant,jLVpZFG6oWBhbyTvp8SNWbMHJpY,posters_multi/566011/jLVpZFG6oWBhbyTvp8SNWbMHJpY.jpg,Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Glove:1.00|Male:0.96|Man:0.96|Advertisement:0.80|Poster:0.57|Batman:0.57,Adult,0.9989,0.5478,0.0,0.9989,0.0,0.0,0.0,14,46.85,80.59,86.98,#000000:39.6|#2f4f4f:30.9|#808080:8.8|#daa520:7.8|#a9a9a9:6.4,0.595,
566011,Curse of the Blind Dead,2019,variant,s406yuEfIcmUWUXSwohn8U2b06B,posters_multi/566011/s406yuEfIcmUWUXSwohn8U2b06B.jpg,Advertisement:1.00|Poster:1.00|Book:0.93|Publication:0.93|Adult:0.77|Male:0.77|Man:0.77|Person:0.77|Scoreboard:0.65|Graphics:0.54,Advertisement,1.0,0.0,0.5094,0.7667,0.0,0.0,0.5195,5,1.55,93.61,83.59,#000000:80.4|#a52a2a:6.5|#dcdcdc:4.5|#800000:3.4|#696969:2.3,0.479,
566047,And that secret that moves the tides of your chest,2018,variant,2j7TaDgsinbs13r7NNiK7wvCMBu,posters_multi/566047/2j7TaDgsinbs13r7NNiK7wvCMBu.jpg,Nature:1.00|Outdoors:1.00|Desert:0.99|Scenery:0.93|Sky:0.77|Text:0.66|Sand:0.56|Dune:0.56|Mountain Range:0.56|Peak:0.56,Nature,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0,84.38,15.75,49.61,#c0c0c0:25.4|#87ceeb:20.6|#a9a9a9:16.9|#5f9ea0:15.7|#808080:14.4,0.407,
566047,And that secret that moves the tides of your chest,2018,variant,fQc6VvaArSg1Bouwzl3JWVJiB5T,posters_multi/566047/fQc6VvaArSg1Bouwzl3JWVJiB5T.jpg,Nature:1.00|Outdoors:1.00|Desert:0.99|Scenery:0.74|Text:0.63|Sky:0.58|Cup:0.57|Sand:0.57|Soil:0.56|Peak:0.56,Nature,0.9971,0.0,0.0,0.0,0.0,0.0,0.0,0,84.2,15.11,47.26,#c0c0c0:23.9|#5f9ea0:22.7|#87ceeb:21.2|#a9a9a9:12.2|#696969:11.6,0.62,
