id,title,year,canonical_path,n_posters,n_clusters,n_discarded_variants,changed_from_primary,iso_639_1,vote_average,vote_count
1498452,Edmonton To Milan,2025,/IaPwL5ur1XDJ66aVJYOD07HZBL.jpg,1,1,0,0,en,0.0,0
1505601,Blair's Craft Projects,2024,/1rT3ByUpBHvXdWMvIaiRIc6DV03.jpg,2,2,0,0,,3.334,1
1535311,spectre girl tries stand up,2025,/gf37nv7jD0wTZLCn5pOqfzrKzme.jpg,1,1,0,0,en,0.0,0
1577501,The Long Walk Back to the Bed,2025,/rByzoxElBCMXHxn3jdACMnnnjTH.jpg,2,1,1,0,,0.0,0
1588271,Phyllis,2023,/e9iWGP7H8RotarTT47CEg87WpIG.jpg,2,2,0,0,en,0.0,0
1594713,The BirdMan,2023,/6Q92uwbJlA1dwdmjCQsH2nApUOB.jpg,1,1,0,0,,0.0,0
1597529,Saint Lucy's Day,2020,/31Ifp8EbaFIOLqDrypPFgUcgU8x.jpg,1,1,0,0,,3.334,1
1602352,Malevolent,9999,/pcdVTwbXkOtUhk62I4ppCHJFzhl.jpg,1,1,0,0,,0.0,0
1608753,Crisis Actress,2023,/b46BXsdp8XRPeKAosHHSX792khI.jpg,1,1,0,0,en,0.0,0
1611636,Goosebumps: Don't Wake Mummy,1997,/9EU2G7YI02aZgdaM5HiXcXXomiH.jpg,2,2,0,0,en,0.0,0
1638821,Asphalt Inferno,2024,/2oQtrZUc51grwFdXASNsbghWc26.jpg,1,1,0,0,,0.0,0
1651814,the things id do to you,2026,/b3y5llqGeMZn6fO0XNs0w4PFiY7.jpg,1,1,0,0,en,0.0,0
1676162,Who Are You,2026,/m0jiJTcsEem5L1YHYIbYRwdpxtv.jpg,1,1,0,0,,0.0,0
1681289,BREATHE,2026,/nECL5SPSqafT97ksU4a38imULmr.jpg,4,3,1,0,,0.0,0
1684269,Jane Eyre,2020,/zQquz1QKnEH5MYbn4d6noobS40m.jpg,2,2,0,0,en,3.334,1
1711077,Hiding in Plain Sight,2021,/gasSNSmnrUw51dNqDosYx8C2Yu6.jpg,1,1,0,0,en,0.0,0
1712166,PRETTY KIND,2026,/2Xy31H397Tv7O8Vm601TtZysFL3.jpg,1,1,0,0,,0.0,0
1736276,Nasty,2015,/1mtGntTrrWL3EEg9VinfEqKMs6D.jpg,1,1,0,0,,0.0,0
1736717,Back from the Dead,2008,/cGXAVl4a6efuIzackPaLLBtiMef.jpg,1,1,0,0,,0.0,0
