id,title,year,vote_count,imdb_id
224690,Savage Vows,1995,0,tt10213166
363277,Writer's Block,1995,0,tt0114987
370091,Legion of the Night,1995,0,tt0113632
386521,The Rite of Spring,1995,0,tt5508962
401067,Fatal Possession,1995,0,tt11841078
483126,Desperate Obsession,1995,0,tt0144866
523827,Ashes and Flames,1995,0,tt0186833
533035,Mark of the Devil 666: The Moralist,1995,0,tt0289737
533182,Frankenstein's Planet of Monsters!,1995,0,tt0113106
580283,Blood Hunt,1995,0,tt2408286
597684,Immortal,1995,0,tt0122113
611349,Curvaceous Corpses,1995,0,tt10868098
651016,The Dying Game,1995,0,tt0255972
732231,Castle Ghosts of England,1995,0,tt0112644
27537,Red Lips II,1996,0,tt0117452
99725,Dead Cold,1996,0,tt0112815
108537,Danger in Blue,1996,0,tt0367635
211560,Invisible Temptation,1996,0,tt0302666
225724,We Await,1996,0,tt0127355
227565,Evil Sister,1996,0,tt0420610
289548,Impakto,1996,0,tt0378088
369164,Jacker 2: Descent to Hell,1996,0,tt0309726
415890,Virgin Sacrifices,1996,0,tt0262103
419165,Evil Obsession,1996,0,tt0112991
444884,Sorority Slaughter 2,1996,0,tt0265786
446489,The Alien Agenda: Out of the Darkness,1996,0,tt0115502
464104,Karishika,1996,0,tt8239286
466609,Limp Fangs: The Adventures of Count Malt Liquela,1996,0,tt0478814
533008,Slaughtered Socialites,1996,0,tt0265763
589775,Blood Hunter,1996,0,tt13935822
663240,America the Violent,1996,0,tt0421595
710743,Starcrypt,1996,0,tt0179476
