imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt43636552,Out of Sync,Out of Sync,,movie,,"Horror,Thriller"
tt43636713,The Black Farm,The Black Farm,,movie,,"Fantasy,Horror"
tt43636782,Return to the Black Farm,Return to the Black Farm,,movie,,"Fantasy,Horror"
tt43636827,Mountain Man,Mountain Man,,movie,,Horror
tt43637799,Férias em Pânico 2 o recomeço da história o último ato,Férias em Pânico 2 o recomeço da história o último ato,,movie,90,"Adventure,Horror"
tt43639761,The Forgotten Ones,The Forgotten Ones,,movie,,Horror
tt43640249,Camp Ascension,Camp Ascension,,movie,,Horror
tt43640339,Resident Dead,Resident Dead,,movie,,Horror
tt43640522,Deadly End: Cameron's Return,Deadly End: Cameron's Return,,movie,,Horror
tt43642032,Devil's Disciple: Richard Ramirez,Devil's Disciple: Richard Ramirez,,movie,,Horror
tt43642438,Camp Duval,Camp Duval,,movie,,"Comedy,Horror"
tt43642525,"Unseen, Unheard","Unseen, Unheard",,movie,,Horror
tt43643011,The Watching Woods,The Watching Woods,,movie,,"Drama,Horror,Mystery"
tt43643017,Father Elias,Father Elias,,movie,,Horror
tt43646144,The Fifth,The Fifth,,movie,,Horror
tt43646191,Jolly,Jolly,,movie,,Horror
tt43646856,The 7 Sins,The 7 Sins,,movie,89,Horror
tt43647534,Saki Sanobashi: Bathroom of Blood,Saki Sanobashi: Bathroom of Blood,,movie,,"Animation,Horror"
tt43647662,Camp Doom,Camp Doom,,movie,,Horror
tt43647908,August Chatham,August Chatham,,movie,,Horror
tt43647978,Untitled Crime Horror,Untitled Crime Horror,,movie,,"Crime,Horror,Mystery"
tt43649836,Skeeter,Skeeter,,movie,,Horror
tt43649971,Night of the Screaming Terror,Night of the Screaming Terror,,movie,,Horror
tt43650561,Vision,Vision,,movie,,"Horror,Thriller"
tt43650681,Trandemic,Trandemic,,movie,,"Comedy,Horror"
tt43650695,Whispers: Reawakening,Whispers: Reawakening,,movie,,Horror
tt43650867,Eternal Flame,Eternal Flame,,movie,,Horror
tt43650922,The Archive,The Archive,,movie,,Horror
tt43651092,Last Christmas,Last Christmas,,movie,,Horror
tt43654034,Laura 1852,Laura 1852,,movie,,"Horror,Mystery,Thriller"
tt43655059,Kaddie,Kaddie,,movie,,Horror
tt43655286,Ex,Ex,,movie,,"Horror,Thriller"
tt43655341,The Fisherman,The Fisherman,,movie,,Horror
tt43655633,Requiem. The Nashville Horror Anthology.,Requiem. The Nashville Horror Anthology.,,movie,,Horror
tt43656177,Home Sweet Homicide,Home Sweet Homicide,,movie,,Horror
tt43656582,Bhoot Siyappa,Bhoot Siyappa,,movie,126,"Comedy,Horror"
tt43656909,Untitled Sceadwe Films horror project,Untitled Sceadwe Films horror project,,movie,,Horror
tt43658051,Slaughter Night II,Slaughter Night II,,movie,,Horror
tt43659199,KA-18,KA-18,,movie,,"Horror,Thriller"
tt43659754,The Long Sleep,The Long Sleep,,movie,,"Horror,Thriller"
tt43660391,Innsmouth Creek,Innsmouth Creek,,movie,,Horror
tt43660917,Tragedy Forever After,Tragedy Forever After,,movie,,Horror
tt43660996,Lyra,Lyra,,movie,,Horror
tt43661793,Detention,Detention,,movie,,"Horror,Thriller"
tt43662015,Se perdió en el Bosque,Se perdió en el Bosque,,movie,,Horror
tt43662061,The Dead Stretch,The Dead Stretch,,movie,,"Horror,Thriller"
tt43663696,Halfcast,Halfcast,,movie,,Horror
tt43666581,Are You There,Are You There,,movie,,Horror
tt43666676,Seeing Things,Seeing Things,,movie,,Horror
tt43669569,Guests,Guests,,movie,,Horror
tt43671482,Gro(ceries),Gro(ceries),,movie,,"Comedy,Horror"
tt43671495,Perfect,Perfect,,movie,,Horror
tt43674104,Untitled A Nightmare on Elm Street Reboot,Untitled A Nightmare on Elm Street Reboot,,movie,,Horror
tt43674257,Love Will Tear Us Apart,Love Will Tear Us Apart,,movie,,Horror
tt43674948,Cartoon Cat,Cartoon Cat,,movie,,Horror
tt43675016,Curtain Call: The Ring Circus Massacre,Curtain Call: The Ring Circus Massacre,,movie,,Horror
tt43675215,Mohanavalli,Mohanavalli,,movie,,"Comedy,Fantasy,Horror"
tt43675398,Cat Tongue,Cat Tongue,,movie,,Horror
tt43675874,Dominic,Dominic,,movie,,Horror
tt43676372,Birth,Birth,,movie,,Horror
tt43676529,Z Files: Cure,Z Files: Cure,,movie,,"Action,Horror,Thriller"
tt43676704,Monster Grizzly 2,Monster Grizzly 2,,movie,,Horror
tt43676842,Backrooms (Gorilla Tag Movie),Backrooms (Gorilla Tag Movie),,tvMovie,90,"Action,Horror"
tt43677405,Echoes,Echoes,,movie,,"Horror,Romance"
tt43677741,Time to Play,Time to Play,,movie,,Horror
tt43677756,Wits,Wits,,movie,,Horror
tt43677853,Baricentro,Baricentro,,movie,,Horror
tt43677955,Cotton Eye Joe,Cotton Eye Joe,,movie,,Horror
tt43678343,Chimni,Chimni,,movie,,"Horror,Thriller"
tt43678631,Scarecrow Shark,Scarecrow Shark,,movie,,Horror
tt43680459,Jellyfish,Jellyfish,,movie,,Horror
tt43680899,Alienness,Alienness,,movie,,"Fantasy,Horror,Sci-Fi"
tt43681067,Attack of the Black Scorpions,Attack of the Black Scorpions,,movie,,"Adventure,Drama,Horror"
tt43681375,Okiophobia,Okiophobia,,movie,,Horror
