id,title,ocr_chars,overlap_max,ocr_lang,original_language
185331,Cats on a Pedal Boat,245,0.0,et,he
1321431,,485,0.0,en,
949574,,360,0.0,en,
56090,Zombeer,465,0.0,en,en
1505601,Blair's Craft Projects,235,0.0,en,en
816759,Sleep Paralysis,51,0.0,en,en
1567594,,327,0.0,et,
1637404,,262,0.0,id,
692074,Manosaurus,428,0.0,en,en
1287922,Imajuik,499,0.0,en,
1532409,Strings,346,0.0,en,en
799920,,322,0.0,et,
1559960,FruitHead,213,0.0,en,en
1566873,,190,0.0,id,
1627954,,70,0.0,fi,
1178831,Woke,93,0.0,en,en
804261,Sour,68,0.0,ht,en
495208,Krampusnacht,358,0.0,et,en
326968,Azazil: Düğüm,384,0.0,tl,tr
1688216,Drone,101,0.0,en,
892132,Ziyaretçi,343,0.0,tr,tr
127247,The Screen at Kamchanod,218,0.0,en,th
351187,Knifepoint,509,0.0,en,en
764595,Kuşatma,296,0.0,tr,tr
1139014,,105,0.0,sv,
148644,Decay,479,0.0,en,en
871654,Mystic Xrossing,449,0.0,id,en
1058073,,371,0.0,en,
1039790,,259,0.0,fi,
320678,Vampyres,343,0.0,en,es
1269475,,151,0.0,en,
1194724,Bye-Bye,334,0.0,tl,en
1564952,,249,0.0,fi,
990455,,309,0.0,en,
1724422,,168,0.0,en,
874832,,405,0.0,en,
297030,The Great Unknown,183,0.0,en,cs
261090,CanniBallistic!,414,0.0,en,en
748286,Personae,330,0.0,en,fr
1578056,MEAT THING,312,0.0,en,en
1155573,Tr*nny F**got,101,0.0,en,en
57190,Vlad,112,0.0,en,en
478494,Primal Screen,87,0.0,en,en
807412,,397,0.0,en,
883428,Shororipu 1,355,0.0,fi,en
601369,The Way She Used to Be,77,0.0,nl,en
723453,Videopathy,486,0.0,pt,pt
1696458,,218,0.0,es,
1353610,Autophagy,370,0.0,en,en
608846,Walk With Me,348,0.0,en,cn
1278594,Damnation,60,0.0,ht,en
1044305,,174,0.0,en,
1617833,Tally,325,0.0,en,
1665084,EVACATION,42,0.0,de,
1079613,Trolled,449,0.0,nl,
425875,Kuşku,173,0.0,tr,tr
1514492,CRIMSON,42,0.0,tl,
1593054,,76,0.0,id,
513147,Pie,48,0.0,en,en
27784,Savaged,58,0.0,en,en
796941,Axe2Grind,60,0.0,en,en
855814,A Haunted School: Girl's Trembling,46,0.0,sq,ja
873973,Fresh Hell,53,0.0,en,en
872278,,126,0.0,en,
961199,Espacio liminal,47,0.0,es,es
114187,Dead Students Society,419,0.0,en,en
